,Q1Income,Q1Foodaway,Q1Cereal,Q1Foodhome,Q2Income,Q2Foodaway,Q2Cereal,Q2Foodhome,Q3Income,Q3Foodaway,Q3Cereal,Q3Foodhome,Q4Income,Q4Foodaway,Q4Cereal,Q4Foodhome,Q5Income,Q5Foodaway,Q5Cereal,Q5Foodhome,Year,State
Year,15761.11,20.47,1.02,52.15,38020.86,28.19,2.24,75.4,65470.08,53.6,11.7,147.91,97650.2,63.49,4.18,115.69,200731.58,83.19,6.32,144.72,2020,Wisconsin
Year,10836.79,27.19,2.83,86.32,36274.98,30.61,2.74,109.39,67538.06,32.97,4.41,100.93,109835.99,86.29,9.23,171.73,221652.4,83.07,7.45,138.95,2020,Washington
Year,11832.35,19.49,2.54,81.95,39083.77,35.83,3.97,94.15,69166.12,51.07,3.63,102.14,110308.9,88.33,0.33,111.23,232253.86,68.14,9.09,151.15,2020,Virginia
Year,10961.89,23.76,1.16,50.71,38582.58,44.54,5.2,91.03,69151.91,76.35,6.22,132.08,108313.95,78.97,13.65,180.59,213612.17,96.82,12.6,155.92,2020,Utah
Year,11353.65,25.9,1.88,51.58,37746.85,42.72,2.1,58.1,69846.61,62.63,3.64,76.53,102856.33,51.7,3.04,73.17,216734.81,93.41,4.31,89.22,2020,Texas
Year,16046.17,4.19,0.9,17.66,39379.4,38.62,4.82,91.88,77624.6,78.42,1.25,39.87,99030.8,46.6,4.04,121.51,223243.17,91.28,10.14,177.16,2020,Tennessee
Year,,,,,,,,,,,,,,,,,,,,,2020,South Dakota
Year,15664.66,18.03,2.38,61.89,40193.98,36.82,2.41,91.18,68411.46,77.19,3.86,92.61,129709.0,83.34,3.52,125.02,230037.25,78.73,9.2,124.09,2020,South Carolina
Year,,,,,,,,,,,,,,,,,,,,,2020,Rhode Island
Year,13386.54,20.35,2.82,77.97,37579.96,107.45,4.95,88.96,67569.02,30.23,3.92,94.64,110592.87,54.32,6.51,122.02,229805.15,71.86,8.11,175.29,2020,Pennsylvania
Year,14791.79,24.9,1.39,78.35,39315.81,41.25,4.52,113.4,69966.98,65.84,3.91,110.52,106609.81,98.04,8.16,187.03,180054.14,74.32,12.32,214.72,2020,Oregon
Year,16097.67,3.72,2.88,66.04,38770.0,27.89,22.86,150.54,66769.09,82.51,2.96,56.29,119806.14,62.03,4.1,146.9,203714.16,64.26,0.97,37.97,2020,Oklahoma
Year,14933.08,25.06,2.58,61.2,40376.08,29.51,2.58,86.31,63449.81,36.61,3.99,59.87,104652.55,55.65,2.98,125.34,212576.87,91.22,5.56,118.61,2020,Ohio
Year,14954.79,16.39,2.74,74.17,38564.78,38.22,1.57,62.47,67590.29,25.84,2.07,78.42,110462.86,58.67,6.71,114.84,214086.02,107.55,9.09,184.62,2020,North Carolina
Year,12589.2,22.16,2.67,68.77,38615.2,32.44,3.21,96.04,63603.73,42.11,5.87,120.72,114062.71,70.79,6.73,150.95,235211.0,73.78,8.25,183.77,2020,New York
Year,14170.32,10.59,3.28,74.44,38441.0,17.41,2.69,105.84,62411.74,39.32,9.93,146.33,113494.11,48.02,3.42,116.4,231913.19,77.52,8.61,179.87,2020,New Jersey
Year,12017.5,1.5,7.65,150.1,29599.3,0.0,0.0,52.12,,,,,133332.0,18.03,9.25,218.13,214080.3,77.63,8.82,197.43,2020,New Hampshire
Year,10307.01,66.42,7.8,155.92,40363.74,47.36,5.44,113.2,68461.8,72.05,4.55,103.8,106800.6,48.17,10.31,100.14,197429.97,36.56,5.79,165.45,2020,Nevada
Year,12391.82,28.33,1.95,58.19,36663.5,37.65,3.12,53.06,67536.35,72.81,5.09,86.05,110828.75,63.66,7.73,112.18,191938.92,126.69,4.14,140.27,2020,Nebraska
Year,,,,,,,,,,,,,,,,,,,,,2020,Montana
Year,14734.25,36.42,3.55,65.68,37663.97,40.72,3.72,82.28,64951.2,46.15,2.21,85.23,110103.14,71.6,3.72,99.72,217602.28,95.76,2.59,134.36,2020,Missouri
Year,14598.68,12.19,1.45,47.72,39235.82,16.29,1.75,30.93,64011.6,42.93,1.65,38.55,104930.1,13.48,2.85,39.91,252571.45,83.26,0.0,19.84,2020,Mississippi
Year,14613.19,13.55,1.35,69.35,40873.32,29.61,2.64,62.5,69488.29,38.8,4.76,109.73,108460.66,39.17,4.66,104.71,206188.34,80.95,6.15,137.46,2020,Minnesota
Year,13787.57,27.37,2.75,58.23,38919.96,28.5,1.99,76.34,67317.92,24.45,2.71,84.79,109667.61,38.55,4.81,115.57,214639.88,107.35,9.37,263.59,2020,Michigan
Year,12626.83,22.32,3.3,85.57,38270.2,76.9,10.15,168.09,62631.15,53.89,4.45,116.26,108224.81,24.18,4.98,122.67,222351.41,73.04,10.27,234.3,2020,Massachuse
Year,11889.75,14.91,3.34,66.45,39763.31,48.17,1.8,88.47,65854.21,62.29,5.54,111.64,107115.76,54.57,4.52,98.91,222603.34,63.92,6.71,160.08,2020,Maryland
Year,,,,,,,,,,,,,,,,,,,,,2020,Maine
Year,9845.19,21.14,2.52,64.29,37883.27,30.05,3.64,88.31,65580.07,28.72,0.74,32.97,108913.96,34.66,1.03,50.7,180939.77,125.46,7.48,186.19,2020,Louisiana
Year,7193.74,23.36,2.24,44.08,39880.2,15.14,5.21,91.52,65806.54,46.17,3.28,83.57,104587.0,40.79,9.09,142.79,184503.18,133.73,4.08,189.1,2020,Kentucky
Year,13462.73,25.23,3.16,61.69,35535.43,38.62,2.1,56.19,63935.57,52.5,5.72,90.7,122467.6,60.47,3.91,130.54,173793.7,214.47,7.93,171.17,2020,Kansas
Year,12267.5,5.72,2.81,81.96,42704.8,8.24,2.5,9.77,72909.0,59.47,4.18,116.52,,,,,177224.9,21.06,11.97,125.25,2020,Iowa
Year,13035.77,19.85,2.61,58.06,40135.09,47.77,8.4,157.78,65739.2,21.01,4.18,77.85,103540.57,81.93,2.86,98.04,207073.73,76.44,1.59,93.56,2020,Indiana
Year,14203.67,45.1,2.3,54.86,38447.56,35.55,5.01,92.37,66868.26,41.7,4.91,105.54,108380.14,58.41,10.53,143.8,205111.78,75.95,6.77,147.06,2020,Illinois
Year,,,,,,,,,,,,,,,,,,,,,2020,Idaho
Year,14159.42,34.64,4.99,78.74,39117.45,59.27,1.95,76.11,65095.72,53.74,5.63,161.34,108570.04,49.3,4.5,149.91,237399.17,69.06,6.22,156.64,2020,Hawaii
Year,13190.85,45.22,1.37,59.02,34597.4,32.97,3.16,83.27,67330.53,37.29,4.24,82.98,107248.4,78.51,4.23,92.18,218467.25,124.75,7.51,179.31,2020,Georgia
Year,13415.01,16.26,2.9,57.38,36977.72,31.71,2.66,87.69,65448.42,45.21,3.51,96.44,110975.18,41.96,5.62,147.97,223065.02,62.65,3.93,120.69,2020,Florida
Year,17201.25,31.8,4.43,84.14,50000.0,21.75,0.0,254.36,62500.0,30.12,0.0,11.78,105000.0,22.0,3.85,90.56,240822.06,21.82,4.29,111.8,2020,District of Columbia
Year,,,,,48000.0,271.79,0.0,39.88,64545.0,91.42,5.09,170.26,116000.0,24.43,2.44,104.02,373377.2,0.0,0.0,0.0,2020,Delaware
Year,13989.06,25.21,1.76,64.1,37685.51,26.07,2.22,56.27,67258.17,51.11,3.76,92.69,112378.97,47.6,4.03,109.01,228177.26,45.31,5.17,150.13,2020,Connecticut
Year,11753.19,24.75,2.57,56.5,39979.23,31.89,2.6,92.79,69656.55,59.36,4.01,97.21,112611.42,64.32,4.45,110.42,228215.96,102.13,6.88,181.23,2020,Colorado
Year,11474.8,30.41,4.05,93.66,39017.76,48.5,5.79,117.52,66447.13,59.26,4.37,111.1,107031.86,77.88,6.41,122.8,209631.71,90.3,7.49,172.0,2020,California
Year,,,,,,,,,,,,,,,,,,,,,2020,Arkansas
Year,14239.16,27.02,1.27,57.41,39935.15,47.04,2.31,70.62,65808.98,36.22,2.66,79.38,107725.27,33.55,4.31,94.95,213778.73,82.67,2.35,107.89,2020,Arizona
Year,9187.92,24.93,3.08,82.84,39815.31,28.74,3.79,77.8,68553.21,32.09,5.99,137.99,109389.27,89.72,8.56,156.95,209068.92,86.6,12.09,222.53,2020,Alaska
Year,12500.59,12.92,3.11,99.18,38077.0,27.77,3.32,94.59,68831.86,30.37,8.19,143.08,112705.39,42.31,7.04,124.72,222070.03,115.84,6.55,192.59,2020,Alabama
Year,13428.18,21.15,2.18,62.23,39438.09,41.21,3.18,69.28,68454.83,40.47,2.67,79.44,111602.11,70.49,3.24,97.96,205547.09,178.39,8.83,160.81,2019,Wisconsin
Year,12764.62,34.88,0.99,46.06,39460.42,32.17,5.3,85.36,68027.57,58.78,3.62,103.91,105939.2,43.73,7.02,160.29,235733.36,123.88,4.98,121.96,2019,Washington
Year,13320.21,30.76,1.7,70.25,37700.15,42.42,4.11,96.95,68064.31,96.82,3.94,107.44,114529.66,91.14,5.74,155.2,235424.94,124.27,4.51,141.64,2019,Virginia
Year,13615.71,34.34,3.98,59.7,39490.43,39.12,4.0,71.75,64610.03,54.48,3.49,70.26,103122.62,83.79,8.54,140.71,208722.67,109.43,5.4,202.54,2019,Utah
Year,11536.44,70.59,1.35,37.05,39792.93,62.3,3.52,88.78,64343.51,62.26,3.06,83.77,107094.14,70.55,2.66,77.74,222233.77,113.44,3.53,113.96,2019,Texas
Year,13874.32,29.26,1.66,61.77,36080.39,21.52,2.51,84.92,67792.68,30.65,1.32,40.69,105388.15,59.92,1.49,72.66,216946.68,25.39,8.75,123.75,2019,Tennessee
Year,,,,,,,,,,,,,,,,,,,,,2019,South Dakota
Year,15660.25,43.04,2.6,92.15,38702.24,65.26,3.29,63.17,64163.78,60.65,1.8,71.51,106671.84,76.76,4.51,100.26,204106.14,166.66,10.56,132.92,2019,South Carolina
Year,,,,,,,,,,,,,,,,,,,,,2019,Rhode Island
Year,12458.14,29.64,1.43,40.26,39107.25,42.58,4.04,82.64,67318.92,47.69,4.47,100.8,107935.03,93.06,5.06,118.93,209950.84,80.96,8.63,190.15,2019,Pennsylvania
Year,8741.19,59.32,2.31,56.59,39714.66,86.54,2.11,99.19,73177.62,85.7,1.33,73.41,109372.55,48.49,2.73,81.57,221300.17,75.83,7.0,112.48,2019,Oregon
Year,13627.57,25.92,0.89,61.28,39221.68,32.88,2.68,94.02,62636.0,32.93,4.25,95.03,122033.42,60.59,3.0,127.37,210305.03,32.97,3.05,122.91,2019,Oklahoma
Year,13628.67,30.98,2.27,100.13,38199.96,42.5,3.12,73.79,67963.62,51.09,3.97,84.33,106171.49,71.01,4.6,110.86,222111.85,121.67,6.36,152.12,2019,Ohio
Year,14145.54,26.81,2.17,61.94,38179.32,39.63,3.31,87.27,69041.4,63.03,3.08,87.56,108811.85,58.06,4.43,121.26,238465.14,109.52,6.01,162.52,2019,North Carolina
Year,10534.09,28.94,2.55,63.16,38962.21,75.53,4.76,94.92,68556.15,75.44,5.12,124.32,108186.0,98.15,6.14,132.12,224213.5,109.45,6.73,164.59,2019,New York
Year,12094.68,73.21,2.12,68.29,38829.89,55.89,3.0,59.0,64271.34,42.53,7.64,116.67,100572.81,78.99,2.89,98.06,228617.8,96.01,3.77,199.85,2019,New Jersey
Year,,,,,30644.4,48.44,0.0,69.68,,,,,103640.7,146.71,3.18,131.69,166950.0,59.42,3.93,99.87,2019,New Hampshire
Year,9907.61,54.39,4.97,174.23,39629.85,48.0,4.88,76.67,68830.0,106.68,3.66,66.46,102855.33,99.57,6.44,137.58,240479.68,184.98,3.68,118.91,2019,Nevada
Year,13013.84,29.28,3.65,62.66,39743.76,31.16,1.91,72.51,65101.99,49.12,4.08,86.17,100816.99,84.58,4.87,120.78,192604.53,366.22,4.61,120.07,2019,Nebraska
Year,,,,,,,,,,,,,,,,,,,,,2019,Montana
Year,11789.92,28.31,0.9,45.98,37787.6,48.43,1.77,71.8,64229.35,46.77,2.27,77.87,108325.36,60.16,2.48,105.38,259488.54,156.01,5.14,138.93,2019,Missouri
Year,17747.95,17.27,0.55,31.33,36075.23,26.7,1.12,57.61,67511.9,23.65,0.61,55.48,110306.45,35.29,2.39,74.3,185096.35,5.4,0.0,0.0,2019,Mississippi
Year,16508.54,39.47,1.12,59.17,40714.3,49.24,1.68,88.65,66824.4,95.33,3.66,178.33,105662.25,77.31,4.18,100.9,227920.18,124.04,4.64,139.95,2019,Minnesota
Year,13332.02,34.83,1.19,46.2,36657.07,45.36,2.81,78.33,67961.83,54.73,2.2,78.63,106191.28,58.1,2.45,66.89,227121.2,137.11,6.63,148.28,2019,Michigan
Year,12843.52,29.41,2.53,60.02,38448.7,44.59,6.54,117.07,68240.94,35.48,0.94,52.35,111084.61,93.98,5.41,98.07,237933.89,95.38,7.38,163.88,2019,Massachuse
Year,11845.47,33.51,3.17,85.91,41821.51,65.16,6.34,151.32,63909.22,35.49,1.32,67.32,107492.59,59.9,5.74,114.36,206790.38,89.21,5.43,149.5,2019,Maryland
Year,,,,,,,,,,,,,,,,,,,,,2019,Maine
Year,9303.9,33.49,1.12,57.87,37369.33,33.19,2.43,72.33,63623.04,56.72,4.74,100.94,110905.27,66.96,3.49,88.55,231538.98,78.83,7.24,159.95,2019,Louisiana
Year,14256.7,49.44,6.34,89.38,39009.16,50.14,5.81,122.03,61500.84,26.54,3.03,55.92,107846.4,98.31,1.84,91.45,227771.27,81.4,2.01,147.43,2019,Kentucky
Year,7153.96,24.1,1.24,75.0,38311.15,55.18,2.86,87.33,67432.31,79.37,2.68,109.13,101058.6,55.45,3.17,76.7,166655.55,68.14,6.98,92.53,2019,Kansas
Year,13311.0,45.77,0.0,8.05,33082.7,29.3,0.58,26.47,61383.5,50.06,3.03,24.63,,,,,228856.9,26.26,0.0,5.04,2019,Iowa
Year,10023.12,3.68,0.0,24.88,36625.93,29.89,1.03,58.77,66194.24,36.94,2.87,115.73,102239.65,82.68,2.38,163.49,202571.27,88.4,2.81,197.24,2019,Indiana
Year,14463.5,30.63,3.28,73.1,37850.22,65.94,6.63,139.03,68047.66,44.04,4.74,88.08,104520.56,90.14,5.89,144.28,226957.17,143.54,5.37,122.2,2019,Illinois
Year,,,,,,,,,,,,,,,,,,,,,2019,Idaho
Year,11148.53,46.01,1.3,79.4,38763.44,32.74,2.46,90.92,62154.25,102.55,6.58,123.02,108861.04,72.47,7.0,192.85,218187.32,137.94,5.57,148.56,2019,Hawaii
Year,14174.29,32.91,3.97,83.53,38393.02,37.7,3.49,116.45,66141.04,15.24,3.88,77.05,103232.42,85.93,3.7,126.24,219610.93,157.56,4.5,144.91,2019,Georgia
Year,12494.87,33.18,2.67,64.15,37960.31,43.75,2.72,83.64,65216.56,55.37,3.54,106.05,104991.67,87.11,4.96,121.6,212346.5,110.83,7.49,141.36,2019,Florida
Year,8406.5,106.98,2.7,65.6,,,,,54282.2,33.01,1.52,7.57,112000.0,174.17,0.0,0.0,230008.37,152.05,1.96,109.83,2019,District of Columbia
Year,20000.0,43.39,5.05,317.18,46390.0,67.94,0.0,32.87,,,,,125000.0,66.46,0.0,145.61,,,,,2019,Delaware
Year,10801.6,30.31,0.98,50.59,39467.73,52.27,7.35,129.61,67673.93,76.8,5.35,98.85,103604.12,73.4,2.47,133.34,206689.5,108.94,4.24,138.06,2019,Connecticut
Year,10543.72,47.92,0.12,61.74,41975.33,73.59,1.84,68.12,65086.26,59.97,4.98,111.01,110287.43,31.67,4.58,109.02,198173.92,84.83,5.07,131.08,2019,Colorado
Year,11992.99,43.41,2.83,70.72,39144.94,61.82,3.38,86.92,67341.37,67.15,4.06,115.13,106698.17,95.88,5.56,112.37,216607.48,138.18,5.61,139.24,2019,California
Year,,,,,,,,,,,,,,,,,,,,,2019,Arkansas
Year,13159.37,28.22,0.51,41.32,38583.4,42.5,1.83,73.7,66321.66,74.42,1.36,55.31,112209.95,74.36,0.45,95.38,224142.66,120.38,3.31,78.67,2019,Arizona
