INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRUT,PROCVEG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,INCLASS,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,HISP_REF,HISP2
0.2984499,0.3110670,0.3049453,0.3106979,0.3058334,0.3111815,0.4153233,03671351,29,D,,A,1,4,D,01,D,1,D,11,D,,A,1,D,,A,4,D,7,D,0,D,30400,D,61688.896,0,D,1683,D,0,D,,A,0,D,12,D,0,D,0,D,22000,D,40,D,,A,8400,D,457,D,105,D,522,D,120,D,,A,5,,1,D,,A,,A,,A,0,D,3,D,0,D,05,D,3,,A,1,D,1,D,1,2,D,,A,1,04,2017,,A,,A,1,D,2,,A,,A,,A,52,D,,A,121068.085,,,109534.935,,,84419.190,,117427.379,,,111549.833,108311.081,102466.630,,97135.822,120978.185,124286.987,113712.988,110120.774,,,,101085.788,,92149.897,109598.814,134653.163,,,,,,110144.354,,,,104239.066,106865.683,,93050.450,,109569.590,125160.902,312.88000,178.78000,22.47000,5.99000,7.75000,0.00000,0.00000,3.59000,15.00000,20.00000,2.99000,11.15000,0.00000,0.00000,1.60000,0.00000,5.65000,70.45000,0.00000,12.14000,134.10000,3.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,3,D,06,25,D,367135,4,D,,A,0,D,30400.0,D,30400,30400,30400,30400,30400,100,0.0,D,0,0,0,0,0,0,D,0,D,700.0,D,700,700,700,700,700,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,22000.0,D,22000,22000,22000,22000,22000,100,D,8400.0,D,8400,8400,8400,8400,8400,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,11,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,1,5,1,
0.2989246,0.3115416,0.3054200,0.3111726,0.3063081,0.3116562,0.4157979,03671352,29,D,,A,1,4,D,01,D,1,D,11,D,,A,1,D,,A,4,D,7,D,0,D,30400,D,61688.896,0,D,1683,D,0,D,,A,0,D,12,D,0,D,0,D,22000,D,40,D,,A,8400,D,457,D,105,D,522,D,120,D,,A,5,,1,D,,A,,A,,A,0,D,3,D,0,D,05,D,3,,A,1,D,1,D,1,2,D,,A,1,04,2017,,A,,A,2,D,2,,A,,A,,A,52,D,,A,121068.085,,,109534.935,,,84419.190,,117427.379,,,111549.833,108311.081,102466.630,,97135.822,120978.185,124286.987,113712.988,110120.774,,,,101085.788,,92149.897,109598.814,134653.163,,,,,,110144.354,,,,104239.066,106865.683,,93050.450,,109569.590,125160.902,95.06000,43.91000,0.00000,3.69000,21.99000,0.00000,0.00000,0.00000,0.00000,1.99000,2.99000,3.29000,0.00000,3.69000,0.00000,0.00000,0.00000,2.28000,0.00000,3.99000,51.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,20.01000,1,D,,A,3,D,06,25,D,367135,4,D,,A,0,D,30400.0,D,30400,30400,30400,30400,30400,100,0.0,D,0,0,0,0,0,0,D,0,D,700.0,D,700,700,700,700,700,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,22000.0,D,22000,22000,22000,22000,22000,100,D,8400.0,D,8400,8400,8400,8400,8400,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,11,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,1,5,1,
0.5037416,0.5188554,0.5095934,0.5117690,0.5124962,0.5119703,0.5953451,03671361,35,D,,A,1,1,D,01,D,1,D,12,D,,A,1,D,,A,1,D,8,D,0,D,54002,D,39581.546,0,D,4131,D,0,D,,A,0,D,,A,0,D,0,D,54000,D,40,D,,A,0,D,43,D,10,D,87,D,20,D,,A,5,,1,D,560,D,,A,,A,0,D,0,D,0,D,12,D,4,,A,2,D,1,D,1,1,D,,A,1,04,2017,1,D,1,D,1,D,2,,A,,A,,A,52,D,,A,66917.924,66105.564,,89410.080,,75552.270,84290.954,,,83341.691,,,99408.328,,75552.589,,,74229.384,73033.899,87919.169,,74883.865,74997.032,69336.079,67970.576,95241.975,,,,79299.738,,70175.410,77360.435,83288.970,,,,,,85396.539,,,,84060.554,130.26850,28.58000,0.00000,8.66000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.00000,1.21000,0.00000,0.00000,0.00000,3.74000,7.25000,0.00000,2.72000,101.68850,28.53150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,08,42,D,367136,,A,,A,0,D,54002.0,D,54002,54002,54002,54002,54002,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,54000.0,D,54000,54000,54000,54000,54000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,12,0,D,0,0,0,0,0,100,0,,A,,A,2,D,2,2,2,2,2,100,2,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,2,5,2,
0.5034370,0.5185509,0.5092888,0.5114644,0.5121916,0.5116657,0.5950405,03671362,35,D,,A,1,1,D,01,D,1,D,12,D,,A,1,D,,A,1,D,8,D,0,D,54002,D,39581.546,0,D,4131,D,0,D,,A,0,D,,A,0,D,0,D,54000,D,40,D,,A,0,D,43,D,10,D,87,D,20,D,,A,5,,1,D,560,D,,A,,A,0,D,0,D,0,D,12,D,4,,A,2,D,1,D,1,1,D,,A,1,04,2017,1,D,1,D,2,D,2,,A,,A,,A,52,D,,A,66917.924,66105.564,,89410.080,,75552.270,84290.954,,,83341.691,,,99408.328,,75552.589,,,74229.384,73033.899,87919.169,,74883.865,74997.032,69336.079,67970.576,95241.975,,,,79299.738,,70175.410,77360.435,83288.970,,,,,,85396.539,,,,84060.554,80.81504,20.06000,0.00000,2.19000,0.00000,0.00000,0.00000,0.00000,4.45000,0.00000,0.00000,4.14000,0.00000,0.00000,0.00000,2.29000,0.00000,0.00000,2.99000,4.00000,60.75504,17.77496,0.00000,0.00000,0.00000,0.00000,0.00000,22.24000,1,D,,A,0,D,08,42,D,367136,,A,,A,0,D,54002.0,D,54002,54002,54002,54002,54002,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,54000.0,D,54000,54000,54000,54000,54000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,12,0,D,0,0,0,0,0,100,0,,A,,A,2,D,2,2,2,2,2,100,2,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,2,5,2,
0.5792056,0.7282630,0.8260840,0.3740467,0.4244638,0.2642156,0.1098219,03671381,56,D,,A,1,4,D,01,D,1,D,13,D,,A,5,D,,A,1,D,8,D,0,D,0,D,42068.226,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,60,D,,A,0,D,609,D,140,D,652,D,150,D,,A,5,,1,D,,A,,A,,A,0,D,0,D,0,D,12,D,1,,A,2,D,1,D,3,1,D,,A,1,04,2017,,A,2,D,1,D,2,,A,,A,,A,52,D,,A,,,,,,81511.661,72368.537,89652.933,,94996.954,,,,76600.978,77944.121,73651.558,82856.158,80011.173,,76788.074,82511.764,81341.100,,,77227.340,,75551.777,,,80330.544,82741.891,,86570.485,83742.220,,73233.288,,83402.458,72907.430,,,,75423.176,,137.70000,80.95000,3.54000,1.80000,7.24000,7.00000,6.00000,0.00000,8.00000,0.00000,2.79000,3.90000,0.00000,1.50000,4.15000,17.49000,3.25000,10.50000,0.00000,3.79000,56.75000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,28.31000,1,D,,A,0,D,08,48,A,367138,,A,,A,0,D,64375.8,D,26606,42146,37522,123472,92133,202,14240.1,T,14240,14240,14240,14240,14240,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,36582.2,D,17263,8232,29765,87651,40000,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S37B,13,0,D,9343,33914,7757,35821,52133,201,27794,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,3,2,
0.5755212,0.4848937,0.4722354,0.4561442,0.1534671,0.8791168,0.1158456,03671382,56,D,,A,1,4,D,01,D,1,D,13,D,,A,5,D,,A,1,D,8,D,0,D,0,D,42068.226,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,60,D,,A,0,D,609,D,140,D,652,D,150,D,,A,5,,1,D,,A,,A,,A,0,D,0,D,0,D,12,D,1,,A,2,D,1,D,3,1,D,,A,1,04,2017,,A,2,D,2,D,2,,A,,A,,A,52,D,,A,,,,,,81511.661,72368.537,89652.933,,94996.954,,,,76600.978,77944.121,73651.558,82856.158,80011.173,,76788.074,82511.764,81341.100,,,77227.340,,75551.777,,,80330.544,82741.891,,86570.485,83742.220,,73233.288,,83402.458,72907.430,,,,75423.176,,162.57000,134.59000,0.00000,3.56000,0.00000,20.75000,0.00000,0.00000,25.30000,0.00000,0.00000,4.00000,0.00000,22.60000,3.20000,0.00000,0.00000,36.38000,0.00000,18.80000,27.98000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17.91000,1,D,,A,0,D,08,48,A,367138,,A,,A,0,D,63768.2,D,156304,17040,46368,49324,49805,202,14240.1,T,14240,14240,14240,14240,14240,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,32234.2,D,25893,13374,41160,31968,48776,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S37B,13,0,D,130411,3666,5208,17356,1029,201,31534,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,3,2,
0.4632086,0.4731933,0.4657335,0.4678153,0.4662617,0.4666004,0.5610304,03671391,46,D,54,D,1,1,D,01,D,2,D,10,D,10,D,3,D,1,D,4,D,3,D,0,D,48000,D,47655.550,0,D,3672,D,0,D,,A,0,D,,A,0,D,0,D,48000,D,35,D,40,D,0,D,435,D,100,D,652,D,150,D,,A,1,,2,D,,A,11,D,,A,0,D,2,D,0,D,10,D,1,1,,2,D,1,D,3,2,D,1,,1,04,2017,1,D,2,D,1,D,2,,A,,A,,A,52,D,50,D,144314.360,142706.741,116841.121,140663.465,,,,88764.227,,93188.828,119655.175,144393.567,,,,,,76303.344,,,,89956.179,106204.895,,80798.929,,88829.772,98830.157,,,87771.407,,,79657.093,,82379.622,,,70882.262,122251.733,115734.932,,86958.321,131267.188,93.73570,45.91000,0.00000,0.99000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.00000,2.99000,3.00000,3.85000,1.32672,1.67328,2.40000,2.71000,0.00000,18.97000,47.82570,0.00000,0.00000,0.00000,5.48727,0.00000,0.00000,0.00000,1,D,,A,4,D,07,48,D,367139,1,D,1,D,0,D,48000.0,D,48000,48000,48000,48000,48000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,48000.0,D,48000,48000,48000,48000,48000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S37A,11,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,4,1,1
0.4628419,0.4728266,0.4653668,0.4674486,0.4658951,0.4662337,0.5606637,03671392,46,D,54,D,1,1,D,01,D,2,D,10,D,10,D,3,D,1,D,4,D,3,D,0,D,48000,D,47655.550,0,D,3672,D,0,D,,A,0,D,,A,0,D,0,D,48000,D,35,D,40,D,0,D,435,D,100,D,652,D,150,D,,A,1,,2,D,,A,11,D,,A,0,D,2,D,0,D,10,D,1,1,,2,D,1,D,3,2,D,1,,1,04,2017,1,D,2,D,2,D,2,,A,,A,,A,52,D,50,D,144314.360,142706.741,116841.121,140663.465,,,,88764.227,,93188.828,119655.175,144393.567,,,,,,76303.344,,,,89956.179,106204.895,,80798.929,,88829.772,98830.157,,,87771.407,,,79657.093,,82379.622,,,70882.262,122251.733,115734.932,,86958.321,131267.188,50.02000,24.39000,0.00000,1.20000,0.00000,0.00000,2.96000,0.00000,0.00000,0.00000,0.00000,0.00000,8.00000,4.68000,0.00000,2.60000,0.68000,2.42000,0.00000,1.85000,25.63000,0.74000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,4,D,07,48,D,367139,1,D,1,D,0,D,48000.0,D,48000,48000,48000,48000,48000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,48000.0,D,48000,48000,48000,48000,48000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S37A,11,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,4,1,1
0.4340872,0.4418620,0.4343925,0.4370224,0.4369674,0.4395307,0.5366938,03671421,31,D,,A,1,4,D,01,D,1,D,15,D,,A,2,D,,A,2,D,7,D,1237,D,44000,D,43022.874,0,D,3366,D,0,D,,A,0,D,,A,0,D,0,D,44000,D,43,D,,A,0,D,217,D,50,D,217,D,50,D,2300,D,4,,1,D,,A,,A,,A,2300,D,1,D,0,D,03,D,4,,A,2,D,1,D,2,2,D,,A,1,04,2017,,A,1,D,1,D,2,,A,,A,,A,52,D,,A,70185.572,84810.041,,,,87085.249,76519.526,,100377.735,,71161.759,85784.475,,,88780.725,,,106316.357,,90060.718,,,98271.913,70093.497,79008.356,,76011.031,86801.811,84744.610,83348.742,80818.053,,,,79868.460,,88916.099,85144.186,78295.278,,,,,,196.09000,187.09000,0.00000,10.98000,70.00000,2.99000,6.97000,7.00000,3.00000,0.00000,10.58000,17.99000,0.00000,19.21000,10.00000,1.59000,0.00000,8.22000,0.00000,18.56000,9.00000,100.23000,7.39000,0.00000,0.00000,0.00000,0.00000,24.22000,1,D,,A,3,D,07,55,D,367142,,A,,A,1237,D,44000.0,D,44000,44000,44000,44000,44000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,44000.0,D,44000,44000,44000,44000,44000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,3,5,2,
0.4344183,0.4421930,0.4347236,0.4373534,0.4372984,0.4398617,0.5370248,03671422,31,D,,A,1,4,D,01,D,1,D,15,D,,A,2,D,,A,2,D,7,D,1237,D,44000,D,43022.874,0,D,3366,D,0,D,,A,0,D,,A,0,D,0,D,44000,D,43,D,,A,0,D,217,D,50,D,217,D,50,D,2300,D,4,,1,D,,A,,A,,A,2300,D,1,D,0,D,03,D,4,,A,2,D,1,D,2,2,D,,A,1,04,2017,,A,1,D,2,D,2,,A,,A,,A,52,D,,A,70185.572,84810.041,,,,87085.249,76519.526,,100377.735,,71161.759,85784.475,,,88780.725,,,106316.357,,90060.718,,,98271.913,70093.497,79008.356,,76011.031,86801.811,84744.610,83348.742,80818.053,,,,79868.460,,88916.099,85144.186,78295.278,,,,,,71.99999,71.99999,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,39.99999,0.00000,32.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,3,D,07,55,D,367142,,A,,A,1237,D,44000.0,D,44000,44000,44000,44000,44000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,44000.0,D,44000,44000,44000,44000,44000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,3,5,2,
