"NEWID","ADDFEDX","ADDFEDX_","ADDOTHX","ADDOTHX_","ADDSTAX","ADDSTAX_","AGE_REF","AGE_REF_","AGE2","AGE2_","BLS_URBN","CUTENURE","CUTE_URE","DESCRIP","DESCRIP_","DIVX","DIVX_","EARNCOMP","EARN_OMP","EARNX","EARNX_","EDUC_REF","EDUC0REF","EDUCA2","EDUCA2_","EMPLTYP1","EMPL_YP1","EMPLTYP2","EMPL_YP2","FAM_SIZE","FAM__IZE","FAM_TYPE","FAM__YPE","FBSNSX","FBSNSX_","FD_STMPS","FD_S_MPS","FEDREFX","FEDREFX_","FFARMX","FFARMX_","FFEDTXX","FFEDTXX_","FGVX","FGVX_","FINCAFTX","FINC_FTX","FINCBEFX","FINC_EFX","FINLWT21","FIRAX","FIRAX_","FJSSDEDX","FJSS_EDX","FPVTX","FPVTX_","FREEMLX","FREEMLX_","FRRX","FRRX_","FS_AMT1","FS_AMT1_","FS_AMT2","FS_AMT2_","FS_AMT3","FS_AMT3_","FS_AMT4","FS_AMT4_","FS_AMT5","FS_AMT5_","FS_AMT6","FS_AMT6_","FS_AMT7","FS_AMT7_","FS_AMT8","FS_AMT8_","FS_DATE1","FS_D_TE1","FS_DATE2","FS_D_TE2","FS_DATE3","FS_D_TE3","FS_DATE4","FS_D_TE4","FS_DATE5","FS_D_TE5","FS_DATE6","FS_D_TE6","FS_DATE7","FS_D_TE7","FS_DATE8","FS_D_TE8","FS_MTHI","FS_MTHI_","FSS_RRX","FSS_RRX_","FSTATXX","FSTATXX_","FSUPPX","FSUPPX_","FWAGEX","FWAGEX_","HRSPRWK1","HRSP_WK1","HRSPRWK2","HRSP_WK2","INC_RNKU","INC__NKU","INSREFX","INSREFX_","INTX","INTX_","JFS_AMT","JFS_AMT_","JGRCFDMV","JGRC_DMV","JGRCFDWK","JGRC_DWK","JGROCYMV","JGRO_YMV","JGROCYWK","JGRO_YWK","LUMPX","LUMPX_","MARITAL1","MARI_AL1","NO_EARNR","NO_E_RNR","NONERNX","NONERNX_","OCCEXPNX","OCCE_PNX","OCCULIS2","OCCU_IS2","ORIGIN1","ORIGIN1_","ORIGIN2","ORIGIN2_","OTHINX","OTHINX_","OTHRECX","OTHRECX_","OTHREFX","OTHREFX_","OTHRNTX","OTHRNTX_","PENSIONX","PENS_ONX","PERSLT18","PERS_T18","PERSOT64","PERS_T64","PERSTAX","PERSTAX_","PICK_UP","OCCULIS1","OCCU_IS1","POPSIZE","PTAXREFX","PTAX_EFX","RACE2","RACE2_","REC_FS","REC_FS_","REF_RACE","REF__ACE","REGION","REGION_","RESPSTAT","RESP_TAT","ROOMX","ROOMX_","SALEX","SALEX_","SEX_REF","SEX_REF_","SEX2","SEX2_","SMSASTAT","SSREFX","SSREFX_","STATREFX","STAT_EFX","STRTDAY","STRTMNTH","STRTYEAR","TAXPROPX","TAXP_OPX","TYPOWND","TYPOWND_","UNEMPX","UNEMPX_","VEHQ","VEHQ_","WEEKI","WEEKI_","WEEKN","WELFRX","WELFRX_","WHYNWRK1","WHYN_RK1","WHYNWRK2","WHYN_RK2","WK_WRKD1","WK_W_KD1","WK_WRKD2","WK_W_KD2","WRKRSX","WRKRSX_","WTREP01","WTREP02","WTREP03","WTREP04","WTREP05","WTREP06","WTREP07","WTREP08","WTREP09","WTREP10","WTREP11","WTREP12","WTREP13","WTREP14","WTREP15","WTREP16","WTREP17","WTREP18","WTREP19","WTREP20","WTREP21","WTREP22","WTREP23","WTREP24","WTREP25","WTREP26","WTREP27","WTREP28","WTREP29","WTREP30","WTREP31","WTREP32","WTREP33","WTREP34","WTREP35","WTREP36","WTREP37","WTREP38","WTREP39","WTREP40","WTREP41","WTREP42","WTREP43","WTREP44","FOODTOT","FOODHOME","CEREAL","BAKEPROD","BEEF","PORK","OTHMEAT","POULTRY","SEAFOOD","EGGS","MILKPROD","OTHDAIRY","FRSHFRUT","FRSHVEG","PROCFRUT","PROCVEG","SWEETS","NONALBEV","OILS","MISCFOOD","FOODAWAY","ALCBEV","SMOKSUPP","PET_FOOD","PERSPROD","PERSSERV","DRUGSUPP","HOUSKEEP","HH_CU_Q","HH_CU_Q_","HHID","HHID_","CHILDAGE","CHIL_AGE","INCLASS","STATE","STATE_","CHDOTHX","CHDOTHX_","ALIOTHX","ALIOTHX_","CHDLMPX","CHDLMPX_","POVERTY","POVERTY_"
38572,300,"D",.,"A",100,"D",28,"D",.,"D","1","4","D","01","D",.,"A","1","D",26400,"D","13","D",,"A","1","D",,"A",2,"D","7","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",30400,"D",30800,"D",13598.33,0,"D",2020,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",26400,"D",52,"D",.,"A",0.5021265,"D",.,"A",.,"A",0,"D",196,"D",45,"D",239,"D",55,"D",.,"A","3","D",1,"D",4400,"D",.,"A",,"A","1","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",1,"D",0,"D",400,"D","01","04","D","2",.,"A",,"A","2","D","1","D","2","D","1","D",.,"A",.,"A","2","D",,"A","1",.,"A",.,"A","05","01","1997",.,"B",,"A",.,"A",1,"D","2","D",1,.,"A",,"A",,"A",52,"D",.,"A",.,"A",24438.017,31640.292,.,28218.767,26809.987,28681.574,.,.,26949.633,.,27703.282,.,.,27613.2,.,.,25555.521,26665.467,.,27950.468,.,27709.769,29264.551,.,.,.,25820.517,.,.,.,.,.,25964.277,29253.649,28217.971,.,29729.526,.,.,.,23725.956,27505.482,28724.888,25567.83,33.29998,18.37998,0,3.63,0,0,0,0,0,0,2.9,0,0,0,0,0,0,1.81999,1.34,8.68999,14.92,0,16.96,0,0,0,0,4.69,1,"D",.,"A","3","D","06","29","D",4400,"D",.,"A",.,"A","2","D"
38782,.,"A",.,"A",.,"A",53,"D",48,"D","1","1","D","01","D",.,"A","3","D",0,"D","15","D","15","D","1","D","1","D",3,"D","3","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",0,"D",24701.047,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",40,"D",40,"D",.,"A",.,"A",.,"A",0,"D",500,"D",115,"D",544,"D",125,"D",.,"A","1","D",3,"D",0,"D",.,"A","04","D","4","D","4","D",.,"A",0,"D",.,"A",.,"A",.,"A",1,"D",0,"D",0,"D","03","06","D","1",.,"A","4","D","2","D","4","D","2","D","2","D",.,"A",.,"A","1","D","2","D","1",.,"A",.,"A",,"01","1997",.,"A","1","D",.,"A",2,"D","2","D",1,.,"A",,"A",,"A",52,"D",52,"D",.,"A",.,.,.,48331.996,50566.737,.,45972.797,.,58949.452,54605.601,.,53872.178,52291.132,.,.,48581.27,.,55475.265,.,.,49040.505,52933.479,47370.439,.,42148.17,48428.348,54530.454,47439.947,59821.457,.,.,.,45119.933,.,51022.716,46928,54964.103,.,.,.,.,.,51300.244,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"D",.,"A","5","D","10","17","D",.,"A",.,"A",.,"A",,"A"
39042,.,"A",.,"A",.,"A",61,"D",58,"D","1","1","D","01","D",.,"A","8","D",0,"D","15","D","14","D",,"A",,"A",2,"D","1","D",0,"D",,"A",900,"D",0,"D",0,"D",0,"D",73645,"T",72545,"T",10165.679,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",.,"A",.,"A",0.7872598,"D",.,"A",7000,"D",0,"D",370,"D",85,"D",435,"D",100,"D",.,"A","1","D",0,"D",72545,"T",.,"A",,"A","1","D","1","D",.,"A",0,"D",.,"A",.,"A",65545,"T",0,"D",0,"D",-1100,"D","01",,"A","2",.,"A","1","D","2","D","1","D","3","D","1","D",.,"A",.,"A","1","D","2","D","1",.,"A",200,"D","05","01","1997",.,"A","1","D",.,"A",2,"D","2","D",1,.,"A","1","D","1","D",0,"D",0,"D",.,"A",23213.998,21594.395,.,.,.,22795.774,22245.042,17268.484,16847.58,22573.496,.,24201.234,25814.652,21621.36,.,.,16822.848,.,16428.172,.,.,15362.217,.,.,22585.22,19126.832,.,17630.127,.,24489.455,21156.797,.,.,.,17837.593,.,.,.,.,.,26331.047,22953.627,19048.144,.,15.75,15.75,0,0,0,2.69,0,0,0,1.65,1.4,0,0,0,0,0,2.82,0,1.35,5.84,0,0,0,5.25,0,0,1.39,45.13,1,"D",.,"A","0","D","08","24","D",.,"A",.,"A",.,"A","2","D"
39152,.,"A",.,"A",.,"A",38,"D",.,"D","1","1","D","05","D",.,"A","4","D",20600,"D","11","D",,"A","1","D",,"A",2,"D","7","D",0,"D",,"A",900,"D",0,"D",2902,"D",0,"D",17830,"D",20600,"D",54078.1,0,"D",1576,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",872,"D",0,"D",20600,"D",40,"D",.,"A",0.3594283,"D",.,"A",.,"A",0,"D",130,"D",30,"D",196,"D",45,"D",.,"A","3","D",2,"D",0,"D",.,"A",,"A","3","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",1,"D",0,"D",2770,"D","01","10","D","5",.,"A",,"A","2","D","2","D","3","D","1","D",.,"A",.,"A","2","D",,"A","1",.,"A",104,"D","07","01","1997",.,"A","1","D",.,"A",1,"D","2","D",1,.,"A",,"A",,"A",52,"D",.,"A",.,"A",.,116813.51,132280.24,141916.604,94354.883,.,.,.,100576.149,.,86218.545,130548.225,107059.212,.,.,.,.,.,97809.316,.,.,.,89694.26,143664.636,.,97801.691,.,83809.94,89727.545,.,100381.074,105808.361,.,.,141615.756,.,106000.512,.,.,156199.812,133164.225,111182.632,.,91566.165,44.08,43.53,9.31,4.3,0,4.45,0,3.29,0,1.82,4.74,1.56,0.85,2.51,4.31,0,3.63,0,1.95,0.81,0.55,0,0,0,9.33125,0,0,5.21875,1,"D",.,"A","5","D","05","13","D",.,"A",.,"A",.,"A","2","D"
39312,.,"A",.,"A",.,"A",61,"D",.,"D","2","2","D","01","D",.,"A","8","D",0,"D","11","D",,"A",,"A",,"A",1,"D","8","D",0,"D","1","D",.,"A",0,"D",0,"D",0,"D",10573,"D",10573,"D",18275.414,0,"D",0,"D",0,"D",.,"A",0,"D",84,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","01011997","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",12,"D",0,"D",0,"D",7920,"D",0,"D",.,"A",.,"A",0.1689785,"D",.,"A",.,"A",1008,"D",109,"D",25,"D",130,"D",30,"D",.,"A","2","D",0,"D",10573,"D",.,"A",,"A","4","D",,"A",.,"A",0,"D",.,"A",1645,"D",.,"A",0,"D",0,"D",0,"D","01",,"A","5",.,"A",,"A","1","D","1","D","1","D","1","D",.,"A",.,"A","2","D",,"A","2",.,"A",.,"A","01","01","1997",.,"A","1","D",.,"A",1,"D","2","D",1,.,"A","1","D",,"A",0,"D",.,"A",.,"A",.,.,36935.939,32355.261,.,37380.116,.,38888.787,33462.863,.,32952.163,38953.172,.,.,33358.523,.,30622.112,.,.,40651.093,38010.874,30085.052,.,28555.733,37941.223,33878.808,37985.798,33462.509,.,.,.,39034.908,.,36868.233,37178.629,32117.76,.,.,.,.,.,38241.33,.,.,19.85999,19.85999,0,8.17999,0,0,0,0,8.07,0,0,0,0,0,0,0,2.01,1.6,0,0,0,0,0,0,0,0,0,0,1,"D",.,"A","0","D","03","36","R",.,"A",.,"A",.,"A","2","D"
39812,615,"D",.,"A",136,"D",54,"D",52,"D","1","4","D","01","D",.,"A","2","D",43000,"D","15","D","10","D","1","D","1","D",2,"D","1","D",0,"D",,"A",.,"A",0,"D",3643,"D",0,"D",37308,"D",43000,"D",25081.966,0,"D",3290,"D",0,"D",25,"D",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",1298,"D",0,"D",43000,"D",40,"D",40,"D",0.6422256,"D",.,"A",.,"B",0,"D",261,"D",60,"D",326,"D",75,"D",.,"A","1","D",2,"D",0,"D",1200,"D","10","D","1","D","2","D",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",5692,"D","01","09","D","1",.,"A","1","D","2","D","1","D","1","D","1","D",.,"A",.,"A","1","D","2","D","1",.,"A",.,"A","04","01","1997",.,"A",,"A",.,"A",1,"D","2","D",1,.,"A",,"A",,"A",52,"D",52,"D",.,"A",49849.777,.,54727.333,.,.,49546.547,.,.,58886.43,53812.035,.,55376.461,.,46797.422,53274.008,.,.,.,53221.904,.,.,.,.,.,44304.214,53494.124,48939.648,.,63114.849,.,.,.,45726.561,55144.415,56377.911,49607.213,51197.138,.,51591.616,41550.91,42735.983,.,.,41473.208,468.8499,443.8499,37.72,7.48993,63.5,29.96,24.01,43.87,78.10999,2.78,1.7,46.00999,9.33292,51.04075,8.74626,4.55006,0,12.56,22.47,0,25,0,0,6.42,0,0,0,23.85,1,"D",.,"A","0","D","07","34","D",.,"A",.,"A",.,"A","2","D"
39832,.,"A",.,"A",.,"A",82,"D",77,"D","2","2","D","01","D",.,"A","8","D",0,"D","13","D","14","D",,"A",,"A",2,"D","1","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",29852,"D",29852,"D",23608.396,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",14852,"D",0,"D",0,"D",0,"D",.,"A",.,"A",0.4895394,"D",.,"A",.,"A",0,"D",196,"D",45,"D",217,"D",50,"D",.,"A","1","D",0,"D",29852,"D",.,"A",,"A","4","D","4","D",.,"A",0,"D",.,"A",.,"A",15000,"D",0,"D",2,"D",0,"D","01",,"A","5",.,"A","1","D","2","D","1","D","3","D","1","D",.,"A",.,"A","1","D","2","D","2",.,"A",.,"A","07","01","1997",.,"A","1","D",.,"A",2,"D","2","D",1,.,"A","1","D","2","D",0,"D",0,"D",.,"A",.,.,62600.969,50981.943,48194.44,42647.341,37052.472,.,.,.,48447.14,.,56076.295,42146.924,50150.019,.,.,.,.,.,44469.51,.,.,.,50514.595,46559.444,.,50611.236,.,54477.962,48368.097,.,36586.607,54744.705,.,.,46290.653,.,51603.536,.,.,55446.306,54771.912,47569.489,107.88998,91.13998,7.59,7.24,24.41998,13.43,0,4.14,0,0.99,5.28,0,1.33,2.18,2.12,4.24,0,10.22,4.79,3.17,16.75,0,0,0,0,0,3.95,3.83,1,"D",.,"A","0","D","05",,"T",.,"A",.,"A",.,"A","2","D"
40022,.,"A",.,"A",.,"A",59,"D",56,"D","2","2","D","05","D",.,"A","1","D",26000,"D","10","D","11","D","1","D",,"A",2,"D","1","D",0,"D","2","D",.,"A",0,"D",0,"D",0,"D",26000,"D",26000,"D",14439.345,0,"D",1989,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",26000,"D",40,"D",.,"A",0.440382,"D",.,"A",.,"A",0,"D",370,"D",85,"D",435,"D",100,"D",.,"A","1","D",1,"D",0,"D",.,"A",,"A","1","D","1","D",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D","01","14","D","5",.,"A","2","D","2","D","2","D","3","D","1","D",.,"A",.,"A","1","D","2","D","2",.,"A",.,"A","05","01","1997",.,"A","1","D",.,"A",2,"D","2","D",1,.,"A",,"A","3","D",52,"D",0,"D",.,"A",.,28878.69,.,28878.69,28878.69,28878.69,28878.69,28878.69,.,.,.,28878.69,.,37101.196,28878.69,28878.69,.,.,.,.,.,38044.393,.,.,.,29307.285,28878.69,.,28878.69,.,28878.69,34648.976,.,28878.69,28878.69,.,.,28878.69,.,28878.69,.,.,48682.368,28878.69,137.00991,102.80992,1.55,11.48,6.3,4.15,0,4.98,2.63,2.73,1.02999,7.27,7.43,2.18,2.68,12.66999,3.29998,1.65,1.3,29.47996,34.19999,0,12.02,0,7.31,0,15.29,11.61998,1,"D",.,"A","0","D","05",,"T",.,"A",.,"A",.,"A","2","D"
40132,.,"A",.,"A",.,"A",75,"D",67,"D","1","3","D","01","D",.,"A","2","D",0,"D","12","D","13","D","1","D","1","D",2,"D","1","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",0,"D",14277.711,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",25,"D",15,"D",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D",0,"D",0,"D",.,"A","1","D",2,"D",0,"D",.,"A","10","D","1","D","4","D",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",2,"D",0,"D","03","04","D","2",.,"A","1","D",,"B","1","D","4","D","2","D",.,"A",.,"A","1","D","2","D","1",.,"A",.,"A",,"01","1997",.,"A",,"A",.,"A",.,"A","2","D",1,.,"A",,"A",,"A",52,"D",40,"D",.,"A",.,29093.733,.,28811.206,.,.,25233.619,30350.51,26727.442,.,28801.956,28145.475,32267.573,30161.662,29053.797,.,.,.,24273.702,.,28341.445,37043.072,30951.273,.,.,.,.,.,25416.012,.,.,.,27890.332,26428.133,.,27458.647,.,27404.696,27846.104,.,28705.972,35579.554,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"D",.,"A","0","D","10","06","D",.,"A",.,"A",.,"A",,"A"
40402,.,"A",.,"A",.,"A",30,"D",.,"D","1","4","D","04","D",.,"A","1","D",0,"D","13","D",,"A","1","D",,"A",1,"D","8","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",0,"D",26818.708,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",40,"D",.,"A",.,"A",.,"A",.,"A",0,"D",.,"B",.,"B",.,"B",.,"B",.,"A","3","D",1,"D",0,"D",.,"A",,"A","3","D",,"A",.,"A",0,"D",.,"B",.,"A",.,"A",0,"D",0,"D",0,"D","01","01","D","1",.,"A",,"A","2","D","2","D","3","D","2","D",.,"A",.,"A","1","D",,"A","1",.,"A",.,"A","07","01","1997",.,"A",,"A",.,"A",.,"A","2","D",1,.,"A",,"A",,"A",52,"D",.,"A",.,"A",.,54496.648,.,50156.499,49276.858,51684.089,.,.,.,.,.,51035.259,.,.,.,67125.157,47662.177,.,68204.497,.,63261.303,55938.86,.,43052.393,51092.469,.,.,62644.265,.,48527.845,.,.,59798.395,51980.729,53466.734,.,58640.371,55902.641,51588.434,58096.26,66455.804,.,.,.,53.11997,53.11997,2.87229,8.76642,0,7.95237,1.92273,4.36011,1.73992,1.22968,0,2.31735,2.85157,1.39096,2.1335,0,0,2.28903,2.71499,10.57905,0,0,0,0,0,0,0,0,1,"D",.,"A","0","D","10","48","D",.,"A",.,"A",.,"A",,"A"
