"NEWID","ADDFEDX","ADDFEDX_","ADDOTHX","ADDOTHX_","ADDSTAX","ADDSTAX_","AGE_REF","AGE_REF_","AGE2","AGE2_","BLS_URBN","CUTENURE","CUTE_URE","DESCRIP","DESCRIP_","DIVX","DIVX_","EARNCOMP","EARN_OMP","EARNX","EARNX_","EDUC_REF","EDUC0REF","EDUCA2","EDUCA2_","EMPLTYP1","EMPL_YP1","EMPLTYP2","EMPL_YP2","FAM_SIZE","FAM__IZE","FAM_TYPE","FAM__YPE","FBSNSX","FBSNSX_","FD_STMPS","FD_S_MPS","FEDREFX","FEDREFX_","FFARMX","FFARMX_","FFEDTXX","FFEDTXX_","FGVX","FGVX_","FINCAFTX","FINC_FTX","FINCBEFX","FINC_EFX","FINLWT21","FIRAX","FIRAX_","FJSSDEDX","FJSS_EDX","FPVTX","FPVTX_","FREEMLX","FREEMLX_","FRRX","FRRX_","FS_AMT1","FS_AMT1_","FS_AMT2","FS_AMT2_","FS_AMT3","FS_AMT3_","FS_AMT4","FS_AMT4_","FS_AMT5","FS_AMT5_","FS_AMT6","FS_AMT6_","FS_AMT7","FS_AMT7_","FS_DATE1","FS_D_TE1","FS_DATE2","FS_D_TE2","FS_DATE3","FS_D_TE3","FS_DATE4","FS_D_TE4","FS_DATE5","FS_D_TE5","FS_DATE6","FS_D_TE6","FS_DATE7","FS_D_TE7","FS_MTHI","FS_MTHI_","FSS_RRX","FSS_RRX_","FSTATXX","FSTATXX_","FSUPPX","FSUPPX_","FWAGEX","FWAGEX_","HRSPRWK1","HRSP_WK1","HRSPRWK2","HRSP_WK2","INC_RNKU","INC__NKU","INSREFX","INSREFX_","INTX","INTX_","JFS_AMT","JFS_AMT_","JGRCFDMV","JGRC_DMV","JGRCFDWK","JGRC_DWK","JGROCYMV","JGRO_YMV","JGROCYWK","JGRO_YWK","LUMPX","LUMPX_","MARITAL1","MARI_AL1","NO_EARNR","NO_E_RNR","NONERNX","NONERNX_","OCCEXPNX","OCCE_PNX","OCCULIS2","OCCU_IS2","ORIGIN1","ORIGIN1_","ORIGIN2","ORIGIN2_","OTHINX","OTHINX_","OTHRECX","OTHRECX_","OTHREFX","OTHREFX_","OTHRNTX","OTHRNTX_","PENSIONX","PENS_ONX","PERSLT18","PERS_T18","PERSOT64","PERS_T64","PERSTAX","PERSTAX_","PICK_UP","OCCULIS1","OCCU_IS1","POPSIZE","PTAXREFX","PTAX_EFX","RACE2","RACE2_","REC_FS","REC_FS_","REF_RACE","REF__ACE","REGION","REGION_","RESPSTAT","RESP_TAT","ROOMX","ROOMX_","SALEX","SALEX_","SEX_REF","SEX_REF_","SEX2","SEX2_","SMSASTAT","SSREFX","SSREFX_","STATREFX","STAT_EFX","STRTDAY","STRTMNTH","STRTYEAR","TAXPROPX","TAXP_OPX","TYPOWND","TYPOWND_","UNEMPX","UNEMPX_","VEHQ","VEHQ_","WEEKI","WEEKI_","WEEKN","WELFRX","WELFRX_","WHYNWRK1","WHYN_RK1","WHYNWRK2","WHYN_RK2","WK_WRKD1","WK_W_KD1","WK_WRKD2","WK_W_KD2","WRKRSX","WRKRSX_","WTREP01","WTREP02","WTREP03","WTREP04","WTREP05","WTREP06","WTREP07","WTREP08","WTREP09","WTREP10","WTREP11","WTREP12","WTREP13","WTREP14","WTREP15","WTREP16","WTREP17","WTREP18","WTREP19","WTREP20","WTREP21","WTREP22","WTREP23","WTREP24","WTREP25","WTREP26","WTREP27","WTREP28","WTREP29","WTREP30","WTREP31","WTREP32","WTREP33","WTREP34","WTREP35","WTREP36","WTREP37","WTREP38","WTREP39","WTREP40","WTREP41","WTREP42","WTREP43","WTREP44","FOODTOT","FOODHOME","CEREAL","BAKEPROD","BEEF","PORK","OTHMEAT","POULTRY","SEAFOOD","EGGS","MILKPROD","OTHDAIRY","FRSHFRUT","FRSHVEG","PROCFRUT","PROCVEG","SWEETS","NONALBEV","OILS","MISCFOOD","FOODAWAY","ALCBEV","SMOKSUPP","PET_FOOD","PERSPROD","PERSSERV","DRUGSUPP","HOUSKEEP","HH_CU_Q","HH_CU_Q_","HHID","HHID_","CHILDAGE","CHIL_AGE","INCLASS","STATE","STATE_","CHDOTHX","CHDOTHX_","ALIOTHX","ALIOTHX_","CHDLMPX","CHDLMPX_","POVERTY","POVERTY_"
119931,.,"C",.,"A",.,"A",61,"D",60,"D","1","2","D","01","D",.,"C","1","D",100000,"D","17","D","13","D","5","D",,"A",2,"D","1","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",100000,"D",100000,"D",59141.817,0,"D",5691,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",100000,"D",25,"D",.,"A",0.9294968,"D",.,"A",.,"C",0,"D",500,"D",115,"D",544,"D",125,"D",.,"A","1","D",1,"D",0,"D",2000,"D",,"A","4","D","4","D",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D","01","03","D","4",.,"A","1","D","2","D","1","D","3","D","1","D",.,"A",.,"A","1","D","2","D","1",.,"A",.,"A","15","02","1998",.,"C","1","D",.,"A",3,"D","1","D",2,.,"A",,"A","2","D",40,"D",0,"D",.,"A",123783.966,.,.,104060.001,101498.257,111308.539,.,117863.071,.,.,.,117057.388,123866.128,99416.948,103044.034,109553.133,.,146219.074,149768.122,119292.035,.,.,147688.587,.,144455.178,.,.,160445.414,.,.,118740.722,120928.023,.,141915.579,.,125647.609,136635.891,.,.,.,135284.058,.,.,.,10.65,10.65,0,1.61856,0,0,2.27694,0,0,0,0,2.45365,0,0,2.26991,0,0,0,0,2.03094,0,0,0,0,0,0,0,0,1,"D",.,"A","0","D","09","12","D",.,"A",.,"A",.,"A","2","D"
119932,.,"C",.,"A",.,"A",61,"D",60,"D","1","2","D","01","D",.,"C","1","D",100000,"D","17","D","13","D","5","D",,"A",2,"D","1","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",100000,"D",100000,"D",59141.817,0,"D",5691,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",100000,"D",25,"D",.,"A",0.9302449,"D",.,"A",.,"C",0,"D",500,"D",115,"D",544,"D",125,"D",.,"A","1","D",1,"D",0,"D",2000,"D",,"A","4","D","4","D",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D","01","03","D","4",.,"A","1","D","2","D","1","D","3","D","1","D",.,"A",.,"A","1","D","2","D","1",.,"A",.,"A","22","02","1998",.,"C","1","D",.,"A",3,"D","2","D",2,.,"A",,"A","2","D",40,"D",0,"D",.,"A",123783.966,.,.,104060.001,101498.257,111308.539,.,117863.071,.,.,.,117057.388,123866.128,99416.948,103044.034,109553.133,.,146219.074,149768.122,119292.035,.,.,147688.587,.,144455.178,.,.,160445.414,.,.,118740.722,120928.023,.,141915.579,.,125647.609,136635.891,.,.,.,135284.058,.,.,.,184.75003,159.75002,9.00338,16.64391,16.70169,17.13814,6.4258,6.10531,2.51784,1.72194,4.34782,9.41581,8.94684,1.52582,7.1839,5.18842,2.22059,8.00065,8.41406,28.2481,25.00001,0,0,0,0,40,0,0,1,"D",.,"A","0","D","09","12","D",.,"A",.,"A",.,"A","2","D"
119941,.,"A",.,"A",.,"A",56,"D",58,"D","1","1","D","01","D",.,"A","2","D",74974,"D","14","D","14","D","2","D","2","D",2,"D","1","D",0,"D",,"A",500,"D",0,"D",10638,"D",5111,"D",79667,"D",94974,"D",15780.971,2000,"D",1087,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",5419,"D",0,"D",74974,"D",40,"D",40,"D",0.9153619,"D",.,"A",.,"A",0,"D",283,"D",65,"D",326,"D",75,"D",.,"A","1","D",2,"D",20000,"D",.,"A","03","D","1","D","3","D",.,"A",0,"D",.,"A",.,"A",20000,"D",0,"D",0,"D",15307,"D","01","04","D","2",.,"A","2","D","2","D","1","D","3","D","1","D",.,"A",.,"A","2","D","1","D","1",.,"A",250,"D","09","02","1998",.,"A","1","D",.,"A",2,"D","1","D",2,.,"A",,"A",,"A",52,"D",52,"D",.,"A",25070.619,45630.659,.,.,.,36376.326,28961.429,34328.735,25070.619,25070.619,.,25070.619,33132.702,25070.619,.,.,25070.619,.,25070.619,.,.,44964.171,.,.,25070.619,34617.498,.,46443.367,.,25216.389,29288.304,.,.,.,30928.167,.,.,.,.,.,31377.031,25153.727,25747.532,.,66.04,39.74,2.82,0,0,5.69,0,0,0,0,1.73,10.77,0,15.52,0,2.38,0,0,0,0.83,26.3,0,0,2.61,0,0,0,0,1,"D",.,"A","0","D","09","24","D",.,"A",.,"A",.,"A","2","D"
119942,.,"A",.,"A",.,"A",56,"D",58,"D","1","1","D","01","D",.,"A","2","D",74974,"D","14","D","14","D","2","D","2","D",2,"D","1","D",0,"D",,"A",500,"D",0,"D",10638,"D",5111,"D",79667,"D",94974,"D",15780.971,2000,"D",1087,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",5419,"D",0,"D",74974,"D",40,"D",40,"D",0.9155615,"D",.,"A",.,"A",0,"D",283,"D",65,"D",326,"D",75,"D",.,"A","1","D",2,"D",20000,"D",.,"A","03","D","1","D","3","D",.,"A",0,"D",.,"A",.,"A",20000,"D",0,"D",0,"D",15307,"D","01","04","D","2",.,"A","2","D","2","D","1","D","3","D","1","D",.,"A",.,"A","2","D","1","D","1",.,"A",250,"D","16","02","1998",.,"A","1","D",.,"A",2,"D","2","D",2,.,"A",,"A",,"A",52,"D",52,"D",.,"A",25070.619,45630.659,.,.,.,36376.326,28961.429,34328.735,25070.619,25070.619,.,25070.619,33132.702,25070.619,.,.,25070.619,.,25070.619,.,.,44964.171,.,.,25070.619,34617.498,.,46443.367,.,25216.389,29288.304,.,.,.,30928.167,.,.,.,.,.,31377.031,25153.727,25747.532,.,67.11999,62.22999,1.76,0,6.83,8.28,0,3.4,0,0,4.89,0,6.49,6.14,3.80525,2.79475,3.45,6.66,0,7.72999,4.89,7.82,0,22.71,0,0,0,2.08,1,"D",.,"A","0","D","09","24","D",.,"A",.,"A",.,"A","2","D"
119951,25,"D",.,"A",.,"A",51,"D",.,"D","1","4","D","01","D",.,"A","1","D",1600,"D","16","D",,"A","3","D",,"A",1,"D","8","D",0,"D","2","D",.,"A",0,"D",160,"D",0,"D",1465,"D",1650,"D",54081.118,0,"D",122,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"B",0,"D",0,"D",0,"D",1600,"D",30,"D",.,"A",0.0161463,"D",.,"A",50,"D",0,"D",109,"D",25,"D",109,"D",25,"D",.,"A","1","D",1,"D",50,"D",.,"A",,"A","4","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",185,"D","01","02","D","5",.,"A",,"A","1","D","1","D","4","D","1","D",.,"A",.,"A","2","D",,"A","2",.,"A",.,"A","24","01","1998",.,"A",,"A",.,"A",1,"D","1","D",2,.,"A",,"A",,"A",46,"D",.,"A",.,"A",.,108022.507,.,.,113665.043,.,111017.227,.,.,102255.006,105963.065,102381.787,.,109415.283,99899.581,109412.345,100344.22,99770.333,.,.,.,108219.721,.,113807.701,91657.98,103640.314,.,.,.,.,.,110751.752,.,.,.,81856.611,109616.168,.,102610.124,.,83102.691,110128.662,.,103133.224,41.14,37.64,0,4.35,1.75,0,0,1.75,0,0,2.15,0,2.77,6.38,0,0,1,2.69,0,14.8,3.5,0,0,0,0,0,0,26.04,1,"D",.,"A","0","D","01",,"T",.,"A",.,"A",.,"A","1","D"
119952,25,"D",.,"A",.,"A",51,"D",.,"D","1","4","D","01","D",.,"A","1","D",1600,"D","16","D",,"A","3","D",,"A",1,"D","8","D",0,"D","2","D",.,"A",0,"D",160,"D",0,"D",1465,"D",1650,"D",54081.118,0,"D",122,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"B",0,"D",0,"D",0,"D",1600,"D",30,"D",.,"A",0.0168303,"D",.,"A",50,"D",0,"D",109,"D",25,"D",109,"D",25,"D",.,"A","1","D",1,"D",50,"D",.,"A",,"A","4","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",185,"D","01","02","D","5",.,"A",,"A","1","D","1","D","4","D","1","D",.,"A",.,"A","2","D",,"A","2",.,"A",.,"A","31","01","1998",.,"A",,"A",.,"A",1,"D","2","D",2,.,"A",,"A",,"A",46,"D",.,"A",.,"A",.,108022.507,.,.,113665.043,.,111017.227,.,.,102255.006,105963.065,102381.787,.,109415.283,99899.581,109412.345,100344.22,99770.333,.,.,.,108219.721,.,113807.701,91657.98,103640.314,.,.,.,.,.,110751.752,.,.,.,81856.611,109616.168,.,102610.124,.,83102.691,110128.662,.,103133.224,25.44,24.35,0,0.35,1.99,0,0,0,0,0,2.09,1.2,7.16,3.98,1.05,0,0.99,2.98,0,2.56,1.09,0,0,0,0,0,0,0,1,"D",.,"A","0","D","01",,"T",.,"A",.,"A",.,"A","1","D"
119961,.,"A",.,"A",.,"A",39,"D",.,"D","1","4","D","01","D",150,"D","4","D",0,"D","13","D",,"A","1","D",,"A",2,"D","9","D",0,"D",,"A",235,"D",0,"D",0,"D",0,"D",505,"D",150,"D",51123.395,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",45,"D",.,"A",.,"A",.,"A",.,"B",0,"D",174,"D",40,"D",283,"D",65,"D",.,"A","5","D",2,"D",150,"D",.,"A",,"A","1","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",-355,"D","01","11","D","4",.,"A",,"A","2","D","1","D","2","D","2","D",.,"A",.,"A","1","D",,"A","1",.,"A",120,"D","03","03","1998",.,"A",,"A",.,"A",2,"D","1","D",2,.,"A",,"A",,"A",42,"D",.,"A",.,"A",.,107078.033,.,.,.,.,.,101250.701,.,.,.,87457.137,100835.377,.,87464.566,.,101024.364,104057.132,.,111292.672,111058.344,.,.,109424.714,.,80903.404,.,.,95229.058,125592.152,103392.132,.,107506.498,103986.76,99612.694,91718.73,94505.102,.,.,.,72843.122,.,103583.819,91827.325,131.42,71.86,3.66,4.96,13.84001,8.52,1.45,0,1.66,1.14,4.57999,1.81,1.18,0,0,2.59,0.62,2.6,0,23.25,59.56,13.2,40.33,0,7.85,0,3.97,3.41,1,"D",.,"A","0","D","10","31","D",.,"A",.,"A",.,"A",,"A"
119962,.,"A",.,"A",.,"A",39,"D",.,"D","1","4","D","01","D",150,"D","4","D",0,"D","13","D",,"A","1","D",,"A",2,"D","9","D",0,"D",,"A",235,"D",0,"D",0,"D",0,"D",505,"D",150,"D",51123.395,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",45,"D",.,"A",.,"A",.,"A",.,"B",0,"D",174,"D",40,"D",283,"D",65,"D",.,"A","5","D",2,"D",150,"D",.,"A",,"A","1","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",-355,"D","01","11","D","4",.,"A",,"A","2","D","1","D","2","D","2","D",.,"A",.,"A","1","D",,"A","1",.,"A",120,"D","10","03","1998",.,"A",,"A",.,"A",2,"D","2","D",2,.,"A",,"A",,"A",42,"D",.,"A",.,"A",.,107078.033,.,.,.,.,.,101250.701,.,.,.,87457.137,100835.377,.,87464.566,.,101024.364,104057.132,.,111292.672,111058.344,.,.,109424.714,.,80903.404,.,.,95229.058,125592.152,103392.132,.,107506.498,103986.76,99612.694,91718.73,94505.102,.,.,.,72843.122,.,103583.819,91827.325,55.86999,31.11999,4.98,1.67,0,2.3,0,0,0,0,2.68,1.88,0.95,0,0,0,3.72999,4.72,2.46,5.75,24.75,0,15.24,0,5.45,0,30.37,1.01999,1,"D",.,"A","0","D","10","31","D",.,"A",.,"A",.,"A",,"A"
119972,.,"A",.,"A",.,"A",83,"D",.,"D","1","2","D","01","D",.,"A","8","D",0,"D","10","D",,"A",,"A",,"A",1,"D","8","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",11686,"D",11686,"D",56557.278,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",11686,"D",0,"D",0,"D",0,"D",.,"A",.,"A",0.1637983,"D",.,"A",.,"A",0,"D",78,"D",18,"D",87,"D",20,"D",.,"A","2","D",0,"D",11686,"D",.,"A",,"A","1","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",1,"D",0,"D","01",,"A","5",.,"A",,"A","2","D","1","D","2","D","1","D",.,"A",.,"A","2","D",,"A","1",.,"A",.,"A","21","03","1998",.,"A","1","D",.,"A",1,"D","2","D",1,.,"A","1","D",,"A",0,"D",.,"A",.,"A",.,.,.,.,.,.,134687.668,.,.,.,128012.943,102588.524,.,87693.98,.,106351.328,109118.488,.,99435.052,103103.462,.,.,106627.296,.,108286.425,.,.,102362.483,121530.162,124132.407,.,121902.432,98577.551,115099.403,115008.312,84046.601,.,.,.,102560.654,.,119842.25,114454.606,109340.801,25.17998,21.70999,0,3.71,0,0,0,0,0,1.2,2.37,5.13,2.95,0,2.51,0,0.8,1.04999,1.5,0.49,3.46999,0,0,0,0,0,10.9,9.2,1,"D",.,"A","0","D","03","17","D",.,"A",.,"A",.,"A","2","D"
119981,1300,"D",.,"A",0,"D",47,"D",.,"D","1","1","D","01","D",.,"A","1","D",20000,"D","13","D",,"A","3","D",,"A",1,"D","8","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",18540,"D",20000,"D",16578.968,0,"D",1530,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",20000,"D",40,"D",.,"A",0.3288615,"D",.,"A",.,"A",0,"D",196,"D",45,"D",196,"D",45,"D",.,"A","5","D",1,"D",0,"D",.,"A",,"A","4","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",1460,"D","01","04","D","2",.,"A",,"A","2","D","1","D","2","D","1","D",.,"A",.,"A","2","D",,"A","1",.,"A",.,"A","07","01","1998",160,"D","1","D",.,"A",1,"D","1","D",2,.,"A",,"A",,"A",52,"D",.,"A",.,"A",.,.,.,.,32297.055,.,.,.,30603.988,31825.722,.,32845.657,.,28460.33,34547.354,.,33502.877,29793.669,.,.,38459.898,.,33859.486,.,.,31879.482,35265.498,37943.45,.,36542.228,34136.02,34074.926,32871.745,31507.54,.,.,.,34380.405,.,28580.064,28939.734,35640.677,.,.,19.17,15.38,0,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,3.79,0,26.5,0,0,0,0,0,1,"D",.,"A","0","D","05","29","D",.,"A",.,"A",.,"A","2","D"
