INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRUT,PROCVEG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,HISP_REF,HISP2
0.6139602,0.6120582,0.6232696,0.6173534,0.6099468,0.6232195,0.6932056,03975291,29,D,,A,1,1,D,10,D,1,D,15,D,,A,1,D,,A,1,D,8,D,0,D,72007,D,40348.447,0,D,5508,D,0,D,,A,0,D,,A,0,D,0,D,72000,D,42,D,,A,0,D,196,D,45,D,261,D,60,D,,A,5,,1,D,,A,,A,,A,0,D,0,D,0,D,03,D,4,,A,2,D,1,D,2,1,D,,A,1,07,2018,2,D,1,D,1,D,2,,A,,A,,A,52,D,,A,,73640.729,,71850.682,80923.081,74597.739,,,73693.187,,85419.889,,,88592.708,83178.538,,98357.821,68836.313,,74739.878,,82883.350,94442.303,,,,73585.414,,,,,,67226.415,73926.664,78324.267,,79487.723,,,,83298.205,94792.011,81533.701,76966.973,29.82000,4.99000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.99000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,24.83000,11.86000,0.00000,0.00000,4.23000,0.00000,6.66000,0.00000,1,D,,A,0,D,26,D,397529,,A,,A,0,D,72007.0,D,72007,72007,72007,72007,72007,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,72000.0,D,72000,72000,72000,72000,72000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,7,D,7,7,7,7,7,100,7,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,3,5,2,
0.6142673,0.6123654,0.6235767,0.6176605,0.6102540,0.6235266,0.6935127,03975292,29,D,,A,1,1,D,10,D,1,D,15,D,,A,1,D,,A,1,D,8,D,0,D,72007,D,40348.447,0,D,5508,D,0,D,,A,0,D,,A,0,D,0,D,72000,D,42,D,,A,0,D,196,D,45,D,261,D,60,D,,A,5,,1,D,,A,,A,,A,0,D,0,D,0,D,03,D,4,,A,2,D,1,D,2,1,D,,A,1,07,2018,2,D,1,D,2,D,2,,A,,A,,A,52,D,,A,,73640.729,,71850.682,80923.081,74597.739,,,73693.187,,85419.889,,,88592.708,83178.538,,98357.821,68836.313,,74739.878,,82883.350,94442.303,,,,73585.414,,,,,,67226.415,73926.664,78324.267,,79487.723,,,,83298.205,94792.011,81533.701,76966.973,158.28000,126.82000,9.86000,44.30000,0.00000,0.00000,9.54000,0.00000,0.00000,0.00000,3.19000,4.00000,0.00000,0.00000,0.00000,0.00000,5.56000,13.65000,0.00000,36.72000,31.46000,13.35000,0.00000,0.00000,5.29000,0.00000,0.00000,23.80000,1,D,,A,0,D,26,D,397529,,A,,A,0,D,72007.0,D,72007,72007,72007,72007,72007,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,72000.0,D,72000,72000,72000,72000,72000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,7,D,7,7,7,7,7,100,7,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,3,5,2,
0.1293047,0.1421611,0.1453607,0.1459314,0.1364969,0.1424165,0.2778414,03975311,65,D,,A,1,4,D,01,D,1,D,15,D,,A,1,D,,A,1,D,8,D,0,D,16808,D,43259.338,0,D,612,D,0,D,,A,0,D,,A,8808,D,0,D,8000,D,36,D,,A,0,D,174,D,40,D,217,D,50,D,,A,3,,1,D,,A,,A,,A,0,D,0,D,1,D,12,D,4,,A,2,D,1,D,3,1,D,,A,1,07,2018,,A,1,D,1,D,2,,A,,A,,A,26,D,,A,88253.578,89981.813,,80803.860,91917.918,94118.577,,,,,,98662.796,,,,74655.337,85407.663,,78873.820,,73135.416,89220.256,,,85742.762,,,85540.030,,91870.415,,,78213.056,72865.496,82279.552,,100434.857,81195.832,96455.523,85082.054,95726.271,,,,145.30000,96.15000,0.00000,12.50000,0.00000,0.00000,9.49000,0.00000,4.59000,0.00000,3.04380,4.34000,0.00000,2.05620,0.00000,0.00000,2.50000,6.22000,3.42000,47.99000,49.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,37,D,397531,,A,,A,0,D,16808.0,D,16808,16808,16808,16808,16808,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,8808.0,D,8808,8808,8808,8808,8808,100,0.0,D,0,0,0,0,0,100,8000.0,D,8000,8000,8000,8000,8000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,3,2,
0.1289755,0.1418318,0.1450314,0.1456021,0.1361677,0.1420872,0.2775121,03975312,65,D,,A,1,4,D,01,D,1,D,15,D,,A,1,D,,A,1,D,8,D,0,D,16808,D,43259.338,0,D,612,D,0,D,,A,0,D,,A,8808,D,0,D,8000,D,36,D,,A,0,D,174,D,40,D,217,D,50,D,,A,3,,1,D,,A,,A,,A,0,D,0,D,1,D,12,D,4,,A,2,D,1,D,3,1,D,,A,1,07,2018,,A,1,D,2,D,2,,A,,A,,A,26,D,,A,88253.578,89981.813,,80803.860,91917.918,94118.577,,,,,,98662.796,,,,74655.337,85407.663,,78873.820,,73135.416,89220.256,,,85742.762,,,85540.030,,91870.415,,,78213.056,72865.496,82279.552,,100434.857,81195.832,96455.523,85082.054,95726.271,,,,133.79000,82.64000,1.89000,4.59000,0.00000,0.00000,11.37000,0.00000,0.00000,0.00000,3.21000,12.41000,0.00000,11.34000,0.00000,0.00000,0.00000,11.63000,0.00000,26.20000,51.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,37,D,397531,,A,,A,0,D,16808.0,D,16808,16808,16808,16808,16808,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,8808.0,D,8808,8808,8808,8808,8808,100,0.0,D,0,0,0,0,0,100,8000.0,D,8000,8000,8000,8000,8000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,3,2,
0.0599934,0.0633245,0.0505844,0.0752804,0.1246098,0.0519512,0.1098799,03975341,66,D,,A,1,2,D,01,D,8,D,13,D,,A,,A,,A,1,D,8,D,0,D,0,D,22389.688,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,,A,,A,0,D,,B,,B,,B,,B,,A,3,,0,D,,A,,A,,A,0,D,0,D,1,D,,A,2,,A,2,D,1,D,4,2,D,,A,1,07,2018,1,D,1,D,1,D,2,,A,1,D,,A,0,D,,A,,40495.011,,43203.298,,50892.532,43337.327,,,,43017.113,,,,,,52942.816,43840.956,44989.728,,41446.156,,,,44776.604,46521.834,42728.159,40925.239,36756.323,,43314.347,36806.026,40453.892,,,45456.333,,42781.221,,,46098.526,47597.040,,47702.252,83.67000,83.67000,0.00000,1.99000,9.15000,9.33000,2.99000,0.00000,0.00000,3.99000,1.99000,4.69000,8.08000,1.97000,0.00000,0.00000,0.00000,24.01000,3.99000,11.49000,0.00000,0.00000,0.00000,10.57000,3.25000,0.00000,0.00000,14.65000,1,D,,A,0,D,06,A,397534,6,D,,A,0,D,9729.6,D,7440,15528,10560,6828,8292,501,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,9729.6,D,7440,15528,10560,6828,8292,501,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S49C,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,9,3,1,
0.1624914,0.1955656,0.0766067,0.2598561,0.1835361,0.1450807,0.1167282,03975342,66,D,,A,1,2,D,01,D,8,D,13,D,,A,,A,,A,1,D,8,D,0,D,0,D,22389.688,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,,A,,A,0,D,,B,,B,,B,,B,,A,3,,0,D,,A,,A,,A,0,D,0,D,1,D,,A,2,,A,2,D,1,D,4,2,D,,A,1,08,2018,1,D,1,D,2,D,2,,A,1,D,,A,0,D,,A,,40495.011,,43203.298,,50892.532,43337.327,,,,43017.113,,,,,,52942.816,43840.956,44989.728,,41446.156,,,,44776.604,46521.834,42728.159,40925.239,36756.323,,43314.347,36806.026,40453.892,,,45456.333,,42781.221,,,46098.526,47597.040,,47702.252,76.19000,76.19000,3.99000,4.98000,0.00000,0.00000,0.00000,0.00000,1.79000,0.00000,1.99000,16.46000,7.38000,5.79000,0.00000,3.28000,0.00000,28.35000,0.00000,2.18000,0.00000,0.00000,0.00000,14.06000,0.00000,0.00000,0.00000,14.53000,1,D,,A,0,D,06,A,397534,6,D,,A,0,D,19910.8,D,17305,21323,28807,10012,22107,502,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,19370.4,D,16572,20484,28104,9804,21888,501,540.4,D,733,839,703,208,219,501,0.0,D,0,0,0,0,0,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S49C,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,9,3,1,
0.0998963,0.1159368,0.1171980,0.1116308,0.1118554,0.1115020,0.2510904,03975371,65,D,,A,2,4,D,01,D,8,D,16,D,,A,,A,,A,1,D,8,D,0,D,14120,D,79699.099,0,D,0,D,0,D,,A,0,D,,A,13836,D,0,D,0,D,,A,,A,0,D,152,D,35,D,217,D,50,D,,A,5,,0,D,100,D,,A,,A,0,D,0,D,1,D,,A,5,,A,2,D,1,D,2,2,D,,A,2,07,2018,,A,1,D,1,D,2,,A,1,D,,A,0,D,,A,165925.865,,163337.370,,,,163776.139,167704.564,,176879.391,,178468.751,188010.822,,,158794.297,,,138238.038,,163790.397,,,151012.619,163014.082,170020.097,,159093.441,151760.443,161164.179,130062.845,149476.950,,,,189645.141,,136678.405,168882.674,155605.102,,,,,48.11000,48.11000,2.37000,1.00000,0.00000,0.00000,0.00000,0.00000,5.86000,0.00000,2.74000,2.98000,0.50000,6.87000,0.00000,0.00000,0.00000,14.01000,3.99000,7.79000,0.00000,29.31000,0.00000,2.58000,2.12000,0.00000,0.00000,42.78000,1,D,,A,0,D,,D,397537,6,D,,A,0,D,14120.0,D,14120,14120,14120,14120,14120,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,13836.0,D,13836,13836,13836,13836,13836,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,16,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,284,D,284,284,284,284,284,100,284,,A,,A,,A,,,,,,100,,D,A,A,A,D,A,,3,1,
0.0992897,0.1153302,0.1165914,0.1110242,0.1112487,0.1108953,0.2504838,03975372,65,D,,A,2,4,D,01,D,8,D,16,D,,A,,A,,A,1,D,8,D,0,D,14120,D,79699.099,0,D,0,D,0,D,,A,0,D,,A,13836,D,0,D,0,D,,A,,A,0,D,152,D,35,D,217,D,50,D,,A,5,,0,D,100,D,,A,,A,0,D,0,D,1,D,,A,5,,A,2,D,1,D,2,2,D,,A,2,07,2018,,A,1,D,2,D,2,,A,1,D,,A,0,D,,A,165925.865,,163337.370,,,,163776.139,167704.564,,176879.391,,178468.751,188010.822,,,158794.297,,,138238.038,,163790.397,,,151012.619,163014.082,170020.097,,159093.441,151760.443,161164.179,130062.845,149476.950,,,,189645.141,,136678.405,168882.674,155605.102,,,,,41.83000,38.24000,2.88000,0.00000,0.00000,2.99000,0.00000,0.00000,0.00000,2.49000,1.74000,5.46000,2.60000,1.48000,0.00000,7.84000,1.79000,0.00000,0.00000,8.97000,3.59000,42.32000,0.00000,0.00000,0.00000,0.00000,0.00000,22.92000,1,D,,A,0,D,,D,397537,6,D,,A,0,D,14120.0,D,14120,14120,14120,14120,14120,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,13836.0,D,13836,13836,13836,13836,13836,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,16,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,284,D,284,284,284,284,284,100,284,,A,,A,,A,,,,,,100,,D,A,A,A,D,A,,3,1,
0.9663659,0.9657280,0.9663006,0.9662432,0.9635526,0.9654863,0.9720451,03975391,56,D,47,D,1,1,D,01,D,2,D,16,D,16,D,1,D,1,D,2,D,1,D,0,D,270200,D,49965.920,0,D,19316,D,29396,D,,A,0,D,,A,0,D,0,D,270000,D,40,D,40,D,0,D,609,D,140,D,652,D,150,D,,A,1,,2,D,,A,03,D,,A,0,D,0,D,0,D,01,D,1,1,,2,D,4,D,3,2,D,1,,1,07,2018,1,D,2,D,1,D,2,,A,,A,,A,52,D,52,D,,,,98065.746,111694.411,117634.739,114147.883,96916.153,,94651.685,84842.727,83210.591,,,90085.784,,116231.734,,,98852.856,86160.642,,106722.445,96922.008,,103411.497,,112109.261,73935.752,,,,102885.986,,,,,,89833.407,107548.929,112432.820,,92280.983,,316.75000,89.47000,0.00000,22.98000,0.00000,8.99000,0.00000,0.00000,0.00000,0.00000,3.99000,0.00000,8.21000,13.92000,0.00000,0.00000,0.00000,0.00000,2.99000,28.39000,227.28000,82.37000,0.00000,0.00000,111.08000,0.00000,48.58000,13.36000,1,D,,A,0,D,13,D,397539,,A,,A,0,D,270200.0,D,270200,270200,270200,270200,270200,100,0.0,D,0,0,0,0,0,29396,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,270000.0,D,270000,270000,270000,270000,270000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S35C,16,0,D,0,0,0,0,0,100,0,,A,,A,200,D,200,200,200,200,200,100,200,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,5,3,2,2
0.9667462,0.9661083,0.9666809,0.9666235,0.9639329,0.9658666,0.9724254,03975392,56,D,47,D,1,1,D,01,D,2,D,16,D,16,D,1,D,1,D,2,D,1,D,0,D,270200,D,49965.920,0,D,19316,D,29396,D,,A,0,D,,A,0,D,0,D,270000,D,40,D,40,D,0,D,609,D,140,D,652,D,150,D,,A,1,,2,D,,A,03,D,,A,0,D,0,D,0,D,01,D,1,1,,2,D,4,D,3,2,D,1,,1,07,2018,1,D,2,D,2,D,2,,A,,A,,A,52,D,52,D,,,,98065.746,111694.411,117634.739,114147.883,96916.153,,94651.685,84842.727,83210.591,,,90085.784,,116231.734,,,98852.856,86160.642,,106722.445,96922.008,,103411.497,,112109.261,73935.752,,,,102885.986,,,,,,89833.407,107548.929,112432.820,,92280.983,,462.73999,134.13999,2.92582,17.07417,17.01000,0.00000,0.00000,0.00000,14.02000,6.29000,3.76000,11.96000,16.95000,27.32000,3.99000,0.00000,0.00000,7.49000,0.00000,5.35000,328.60000,238.72000,0.00000,0.00000,0.00000,280.34000,4.71535,0.00000,1,D,,A,0,D,13,D,397539,,A,,A,0,D,270200.0,D,270200,270200,270200,270200,270200,100,0.0,D,0,0,0,0,0,29396,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,270000.0,D,270000,270000,270000,270000,270000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S35C,16,0,D,0,0,0,0,0,100,0,,A,,A,200,D,200,200,200,200,200,100,200,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,5,3,2,2
