"NEWID","ADDFEDX","ADDFEDX_","ADDOTHX","ADDOTHX_","ADDSTAX","ADDSTAX_","AGE_REF","AGE_REF_","AGE2","AGE2_","BLS_URBN","CUTENURE","CUTE_URE","DESCRIP","DESCRIP_","DIVX","DIVX_","EARNCOMP","EARN_OMP","EARNX","EARNX_","EDUC_REF","EDUC0REF","EDUCA2","EDUCA2_","EMPLTYP1","EMPL_YP1","EMPLTYP2","EMPL_YP2","FAM_SIZE","FAM__IZE","FAM_TYPE","FAM__YPE","FBSNSX","FBSNSX_","FD_STMPS","FD_S_MPS","FEDREFX","FEDREFX_","FFARMX","FFARMX_","FFEDTXX","FFEDTXX_","FGVX","FGVX_","FINCAFTX","FINC_FTX","FINCBEFX","FINC_EFX","FINLWT21","FIRAX","FIRAX_","FJSSDEDX","FJSS_EDX","FPVTX","FPVTX_","FREEMLX","FREEMLX_","FRRX","FRRX_","FS_AMT1","FS_AMT1_","FS_AMT2","FS_AMT2_","FS_AMT3","FS_AMT3_","FS_AMT4","FS_AMT4_","FS_AMT5","FS_AMT5_","FS_AMT6","FS_AMT6_","FS_AMT7","FS_AMT7_","FS_AMT8","FS_AMT8_","FS_DATE1","FS_D_TE1","FS_DATE2","FS_D_TE2","FS_DATE3","FS_D_TE3","FS_DATE4","FS_D_TE4","FS_DATE5","FS_D_TE5","FS_DATE6","FS_D_TE6","FS_DATE7","FS_D_TE7","FS_DATE8","FS_D_TE8","FS_MTHI","FS_MTHI_","FSS_RRX","FSS_RRX_","FSTATXX","FSTATXX_","FSUPPX","FSUPPX_","FWAGEX","FWAGEX_","HRSPRWK1","HRSP_WK1","HRSPRWK2","HRSP_WK2","INC_RNKU","INC__NKU","INSREFX","INSREFX_","INTX","INTX_","JFS_AMT","JFS_AMT_","JGRCFDMV","JGRC_DMV","JGRCFDWK","JGRC_DWK","JGROCYMV","JGRO_YMV","JGROCYWK","JGRO_YWK","LUMPX","LUMPX_","MARITAL1","MARI_AL1","NO_EARNR","NO_E_RNR","NONERNX","NONERNX_","OCCEXPNX","OCCE_PNX","OCCULIS2","OCCU_IS2","ORIGIN1","ORIGIN1_","ORIGIN2","ORIGIN2_","OTHINX","OTHINX_","OTHRECX","OTHRECX_","OTHREFX","OTHREFX_","OTHRNTX","OTHRNTX_","PENSIONX","PENS_ONX","PERSLT18","PERS_T18","PERSOT64","PERS_T64","PERSTAX","PERSTAX_","PICK_UP","OCCULIS1","OCCU_IS1","POPSIZE","PTAXREFX","PTAX_EFX","RACE2","RACE2_","REC_FS","REC_FS_","REF_RACE","REF__ACE","REGION","REGION_","RESPSTAT","RESP_TAT","ROOMX","ROOMX_","SALEX","SALEX_","SEX_REF","SEX_REF_","SEX2","SEX2_","SMSASTAT","SSREFX","SSREFX_","STATREFX","STAT_EFX","STRTDAY","STRTMNTH","STRTYEAR","TAXPROPX","TAXP_OPX","TYPOWND","TYPOWND_","UNEMPX","UNEMPX_","VEHQ","VEHQ_","WEEKI","WEEKI_","WEEKN","WELFRX","WELFRX_","WHYNWRK1","WHYN_RK1","WHYNWRK2","WHYN_RK2","WK_WRKD1","WK_W_KD1","WK_WRKD2","WK_W_KD2","WRKRSX","WRKRSX_","WTREP01","WTREP02","WTREP03","WTREP04","WTREP05","WTREP06","WTREP07","WTREP08","WTREP09","WTREP10","WTREP11","WTREP12","WTREP13","WTREP14","WTREP15","WTREP16","WTREP17","WTREP18","WTREP19","WTREP20","WTREP21","WTREP22","WTREP23","WTREP24","WTREP25","WTREP26","WTREP27","WTREP28","WTREP29","WTREP30","WTREP31","WTREP32","WTREP33","WTREP34","WTREP35","WTREP36","WTREP37","WTREP38","WTREP39","WTREP40","WTREP41","WTREP42","WTREP43","WTREP44","FOODTOT","FOODHOME","CEREAL","BAKEPROD","BEEF","PORK","OTHMEAT","POULTRY","SEAFOOD","EGGS","MILKPROD","OTHDAIRY","FRSHFRUT","FRSHVEG","PROCFRUT","PROCVEG","SWEETS","NONALBEV","OILS","MISCFOOD","FOODAWAY","ALCBEV","SMOKSUPP","PET_FOOD","PERSPROD","PERSSERV","DRUGSUPP","HOUSKEEP","HH_CU_Q","HH_CU_Q_","HHID","HHID_","CHILDAGE","CHIL_AGE","INCLASS","STATE","STATE_","CHDOTHX","CHDOTHX_","ALIOTHX","ALIOTHX_","CHDLMPX","CHDLMPX_","POVERTY","POVERTY_"
57732,5000,"D",.,"A",700,"D",43,"D",47,"D","1","1","D","01","D",.,"A","3","D",1320,"D","17","D","16","D","1","D","1","D",5,"D","5","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",3742,"D",9442,"D",41960.969,4000,"D",101,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",8122,"D",0,"D",0,"D",1320,"D",30,"D",60,"D",0.1249888,"D",.,"A",.,"A",0,"D",522,"D",120,"D",652,"D",150,"D",.,"A","1","D",3,"D",8122,"D",.,"A","01","D","1","D","4","D",.,"A",0,"D",.,"A",.,"A",.,"A",2,"D",1,"D",5700,"D","01","01","D","1",.,"A","4","D","2","D","1","D","4","D","1","D",.,"A",.,"A","2","D","1","D","1",.,"A",.,"A","02","04","1997",.,"A","1","D",.,"A",4,"D","2","D",1,.,"A",,"A",,"A",48,"D",52,"D",.,"A",.,84299.775,.,69408.819,.,.,91012.906,90594.054,91419.235,.,105761.339,88512.013,94970.244,61102.333,90121.685,.,.,.,111958.6,.,89763.385,106987.908,77021.948,.,.,.,.,.,76573.082,.,.,.,87262.816,61588.637,.,82872.814,.,77391.577,91669.212,.,124779.006,74527.614,.,.,112.89,52.95,0,6.72,0,0,1.5,0,2.25,0,0,3.19,6.32,2.57,9.9,0,0,5,2.59,12.91,59.94,10.72001,0,0,1.35,0,1.1141,27.27,1,"D",.,"A","5","D","02","06","D",.,"A",.,"A",.,"A","1","D"
57792,.,"A",1076,"D",.,"A",82,"D",81,"D","1","2","D","01","D",.,"A","8","D",0,"D","10","D","10","D",,"A",,"A",2,"D","1","D",0,"D",,"A",324,"D",0,"D",0,"D",0,"D",30293,"T",24991,"D",28295.574,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",23888,"D",0,"D",0,"D",0,"D",.,"A",.,"A",0.4101035,"D",.,"A",1103,"D",0,"D",391,"D",90,"D",435,"D",100,"D",.,"A","1","D",0,"D",24991,"D",.,"A",,"A","1","D","1","D",.,"A",0,"D",6054,"T",.,"A",.,"A",0,"D",2,"D",-5302,"T","01",,"A","2",.,"A","1","D","2","D","1","D","2","D","1","D",.,"A",.,"A","1","D","2","D","1",.,"A",.,"A","05","04","1997",.,"A","1","D",.,"A",1,"D","2","D",1,.,"A","1","D","2","D",0,"D",0,"D",.,"A",54258.062,71051.612,55158.639,.,62871.333,53874.829,53934.434,.,.,54006.669,.,61380.101,.,.,55021.129,.,.,56705.968,54823.054,.,50054.826,.,52073.505,51398.684,.,.,.,64684.156,.,.,.,.,.,51380.678,52922.678,63470.295,.,51447.478,.,.,.,48831.503,55781.974,54392.117,88.08999,88.08999,0,22.47,4.43,12.63,0,0,0,2.11,0,27.7,3.97,0,4.99,0,1.04999,0,0,8.74,0,0,0,0,5.27,27,31.53,33.01,1,"D",.,"A","0","D","05","27","D",.,"A",.,"A",.,"A","2","D"
57882,.,"A",.,"A",.,"B",47,"D",54,"D","1","1","D","01","D",.,"B","2","D",146000,"D","16","D","16","D","4","D","4","D",3,"D","3","D",0,"D",,"A",.,"A",0,"D",21616,"D",4703,"D",118747,"D",146000,"D",30863.285,0,"D",10226,"D",3759,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",5637,"D",0,"D",146000,"D",50,"D",50,"D",0.9773637,"D",.,"A",.,"B",0,"D",304,"D",70,"D",370,"D",85,"D",.,"A","1","D",2,"D",0,"D",.,"B","02","D","1","D","2","D",.,"A",0,"D",.,"A",.,"A",.,"A",1,"D",0,"D",27253,"D","01","03","D","1",.,"A","1","D","2","D","1","D","1","D","1","D",.,"A",.,"A","1","D","2","D","1",.,"A",.,"A","02","04","1997",.,"A","1","D",.,"A",3,"D","2","D",1,.,"A",,"A",,"A",52,"D",42,"D",.,"A",54897.166,52712.393,.,56484.094,.,.,51377.139,.,.,69467.073,53459.269,.,59472.133,.,56283.042,56915.932,.,.,.,58286.106,.,.,.,.,.,59229.579,58716.749,55715.176,.,57574.448,.,.,.,62342.048,78139.222,52817.833,68651.999,51502.321,.,51488.381,59045.238,61810.024,.,.,111.38999,14.86,6.9,0,0,0,0,2.65,0,0,0,3.19,0,0,0,0,0,2.12,0,0,96.52999,32.98999,0,0,3.95,0,5,67.99,1,"D",.,"A","5","D","09","42","D",.,"A",.,"A",.,"A","2","D"
58382,.,"A",.,"A",.,"A",30,"D",34,"D","1","4","D","01","D",.,"A","5","D",30000,"D","13","D","15","D",,"A","1","D",3,"D","2","D",0,"D","2","D",.,"A",0,"D",0,"D",0,"D",30000,"D",30000,"D",44329.803,0,"D",2295,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",30000,"D",.,"A",55,"D",0.4987861,"D",.,"A",.,"A",0,"D",300,"D",69,"D",387,"D",89,"D",.,"A","1","D",1,"D",0,"D",.,"A","01","D","4","D","3","D",.,"A",0,"D",.,"A",.,"A",.,"A",1,"D",0,"D",0,"D","01",,"A","4",.,"A","2","D","2","D","1","D","3","D","1","D",.,"A",.,"A","2","D","1","D","1",.,"A",.,"A","07","04","1997",.,"A",,"A",.,"A",2,"D","2","D",1,.,"A","2","D",,"A",0,"D",52,"D",.,"A",107126.597,.,80398.367,93965.526,91420.669,.,78782.94,.,.,.,65499.188,90991.056,73735.874,82386.922,80969.371,.,86352.9,75107.465,95384.338,.,.,81738.436,.,83609.706,.,.,82977.562,.,.,72388.172,76776.607,.,88878.187,.,98449.392,80635.556,.,.,.,83917.539,.,.,.,.,179.61,156.65999,0,0.83,19.89,7.7,1.04999,4.66,11.46,0,6.14,0,0,0,0,0,0,5.29,0,99.64,22.95001,0,11.8,0,6.7,0,7.94,0,1,"D",.,"A","1","D","06","48","D",.,"A",.,"A",.,"A","2","D"
58592,.,"A",.,"A",.,"A",35,"D",34,"D","1","1","D","01","D",150,"D","1","D",50000,"D","14","D","12","D","1","D",,"A",5,"D","3","D",0,"D",,"A",3000,"D",0,"D",4914,"D",0,"D",46830,"D",50150,"D",35114.756,0,"D",3825,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",1406,"D",0,"D",50000,"D",40,"D",.,"A",0.7211005,"D",.,"A",.,"A",0,"D",326,"D",75,"D",435,"D",100,"D",.,"A","1","D",1,"D",150,"D",10455,"T",,"A","4","D","4","D",.,"A",0,"D",.,"A",.,"A",.,"A",3,"D",0,"D",3320,"D","01","01","D","3",.,"A","1","D","2","D","1","D","1","D","1","D",.,"A",.,"A","1","D","2","D","1",.,"A",.,"A","06","04","1997",.,"A","1","D",.,"A",2,"D","2","D",1,.,"A",,"A","2","D",52,"D",0,"D",.,"A",55212.513,.,.,64782.894,.,84932.546,.,.,77709.278,.,.,83788.003,61603.506,.,60578.132,.,89939.014,63981.558,.,.,.,69376.886,.,.,.,.,.,65381.203,86700.153,65034.475,.,73922.396,.,.,.,67360.629,64318.263,77723.838,74067.251,64135.214,.,65307.312,59377.42,71906.001,98.65999,70.23999,5.73,7.83,18.16,0,0,0,0,0,9.16,7.78,3.38999,0.94,3.19,9.49,0,1.79,0,2.78,28.42,20.97999,0,0,0,0,9.49,15.48,1,"D",.,"A","2","D","08","42","D",.,"A",.,"A",.,"A","2","D"
58702,.,"A",.,"A",.,"A",48,"D",.,"D","1","4","D","01","D",.,"A","1","D",14076,"D","15","D",,"A","1","D",,"A",1,"D","8","D",76,"D",,"A",2500,"D",0,"D",2000,"D",0,"D",15816,"D",16576,"D",25620.801,0,"D",1071,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",1260,"D",0,"D",14000,"D",30,"D",.,"A",0.2709358,"D",.,"A",2500,"D",0,"D",152,"D",35,"D",174,"D",40,"D",.,"A","3","D",1,"D",2500,"D",300,"D",,"A","1","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",760,"D","01","01","D","2",.,"A",,"A","2","D","1","D","4","D","1","D",.,"A",.,"A","2","D",,"A","1",.,"A",.,"A","07","04","1997",.,"A",,"A",.,"A",1,"D","2","D",1,.,"A",,"A",,"A",52,"D",.,"A",.,"A",.,.,57308.32,.,.,52724.821,42925.551,52871.206,.,49608.045,46947.411,55114.3,46310.05,56936.128,.,.,.,47321.243,.,55566.145,50986.285,46591.014,.,.,.,.,.,47082.922,.,.,.,55630.318,50092.813,.,60145.756,.,53312.397,56271.448,.,48116.673,43786.201,.,.,54446.612,84.16999,30.67999,1.25,6.59,0,0,0,0,2.94,1.09,0.83,1.26999,5.55,8.58,0,0,1.47,0.61,0,0.5,53.49,9.89001,0,0,4.58,0,21.26,29.15,1,"D",.,"A","0","D","04","41","D",.,"A",.,"A",.,"A","2","D"
59012,.,"A",.,"A",.,"A",74,"D",73,"D","1","2","D","01","D",.,"A","3","D",0,"D","12","D","12","D","5","D","5","D",3,"D","4","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",526,"D",526,"D",18005.089,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",526,"D",0,"D",0,"D",0,"D",40,"D",40,"D",.,"A",.,"A",.,"A",0,"D",261,"D",60,"D",304,"D",70,"D",.,"A","1","D",3,"D",526,"D",.,"A","14","D","4","D","4","D",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",2,"D",0,"D","01","04","D","2",.,"A","1","D","2","D","1","D","2","D","2","D",.,"A",.,"A","2","D","1","D","1",.,"A",.,"A","07","04","1997",.,"A","1","D",.,"A",2,"D","2","D",1,.,"A",,"A",,"A",52,"D",52,"D",.,"A",36410.107,27574.753,32698.197,42809.724,.,32964.89,44808.943,40471.914,.,.,37191.354,.,42432.809,.,.,37650.297,.,.,33970.011,33870.967,.,42385.847,.,38430.513,39792.866,.,.,.,34318.958,.,.,.,.,.,32824.834,46392.276,35734.336,.,27830.892,.,.,.,33367.791,36776.909,57.32001,57.32001,3.98405,4.8772,0,5.22364,0,0,4.93087,1.20443,1.91871,6.69169,2.70719,3.55085,3.37218,0,1.86861,6.08238,0,10.90821,0,0,0,0,0,0,0,0,1,"D",.,"A","7","D","10","29","D",.,"A",.,"A",.,"A",,"A"
59382,1300,"D",.,"A",600,"D",66,"D",64,"D","2","2","D",,"A",.,"A","8","D",0,"D","11","D","14","D",,"A",,"A",2,"D","1","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",35384,"D",37284,"D",50401.929,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",20888,"D",0,"D",0,"D",0,"D",.,"A",.,"A",0.5983649,"D",.,"A",1200,"D",0,"D",304,"D",70,"D",348,"D",80,"D",.,"A","1","D",0,"D",37284,"D",.,"B",,"A","4","D","4","D",.,"A",0,"D",.,"A",.,"A",12796,"D",0,"D",1,"D",1900,"D","01",,"A","5",.,"A","1","D","2","D","1","D","4","D","1","D",2400,"D",.,"A","1","D","2","D","2",.,"A",.,"A","04","04","1997",.,"A","1","D",.,"A",3,"D","2","D",1,.,"A","1","D","1","D",0,"D",0,"D",.,"A",99511.43,.,70919.312,98832.296,.,92673.099,.,85949.787,76326.075,.,.,.,105848.547,.,.,.,.,.,77601.04,98057.639,100909.936,.,111676.995,.,.,.,103600.226,97587.574,82139.658,91337.913,91327.991,.,95045.505,82390.74,66647.112,.,.,79576.906,.,90040.088,.,.,81977.138,.,95.52999,35.7,6.99,9.38,0,0,0,0,0,0,0,0,0,0,0,3.15,8.19,0,7.99,0,59.82999,16.44,0,0,0,0,0,40.43,1,"D",.,"A","0","D","06",,"T",.,"A",.,"A",.,"A","2","D"
59672,.,"A",.,"A",.,"A",54,"D",.,"D","1","1","D","01","D",.,"A","7","D",0,"D","11","D",,"A",,"A",,"A",2,"D","9","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",0,"D",52642.508,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",196,"D",45,"D",239,"D",55,"D",.,"A","4","D",1,"D",0,"D",.,"A",,"A","3","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D","01",,"A","1",.,"A",,"A","2","D","2","D","1","D","2","D",.,"A",.,"A","2","D",,"A","1",.,"A",.,"A","02","04","1997",.,"A","1","D",.,"A",1,"D","2","D",1,.,"A","4","D",,"A",0,"D",.,"A",.,"A",133046.125,99478.368,.,147815.546,.,.,109084.477,.,.,105375.551,75435.427,.,115174.812,.,82639.312,132261.894,.,.,.,71570.839,.,.,.,.,.,111121.806,81616.45,100073.901,.,103449.174,.,.,.,128261.879,94423.914,100072.925,82121.299,80158.738,.,106256.091,93966.808,124333.788,.,.,35.87,18.18,0,1,0,0,0,0,10,0,0,0,0,0,7.18,0,0,0,0,0,17.69,0,5.85,0,0,0,0,0,1,"D",.,"A","7","D","10","42","D",.,"A",.,"A",.,"A",,"A"
59852,.,"A",.,"A",.,"A",31,"D",.,"D","1","5","D","01","D",.,"A","8","D",0,"D","12","D",,"A",,"A",,"A",3,"D","7","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",6000,"D",6000,"D",18721.616,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",.,"A",.,"A",0.0528101,"D",.,"A",.,"A",0,"D",348,"D",80,"D",522,"D",120,"D",.,"A","3","D",0,"D",6000,"D",.,"A",,"A","4","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",2,"D",0,"D",0,"D","01",,"A","2",.,"A",,"A","2","D","1","D","2","D","1","D",.,"A",.,"A","2","D",,"A","1",.,"A",.,"A","04","04","1997",.,"A",,"A",.,"A",1,"D","2","D",1,.,"A","2","D",,"A",0,"D",.,"A",.,"A",.,.,.,.,41229.802,.,.,.,35857.374,32332.41,.,43945.463,.,38776.287,43433.994,.,35502.63,28416.351,.,.,39324.683,.,37127.375,.,.,37469.954,34728.141,32153.249,.,33845.063,35679.956,31351.658,37517.919,45732.059,.,.,.,45290.988,.,40674.84,39902.67,29931.13,.,.,19.27,6.27,0,0,0,0,0,0,0,0,6.27,0,0,0,0,0,0,0,0,0,13,0,6.34,0,0,0,0,0,1,"D",.,"A","5","D","02","39","R",6000,"D",.,"A",.,"A","1","D"
