"NEWID","ADDFEDX","ADDFEDX_","ADDOTHX","ADDOTHX_","ADDSTAX","ADDSTAX_","AGE_REF","AGE_REF_","AGE2","AGE2_","BLS_URBN","CUTENURE","CUTE_URE","DESCRIP","DESCRIP_","DIVX","DIVX_","EARNCOMP","EARN_OMP","EARNX","EARNX_","EDUC_REF","EDUC0REF","EDUCA2","EDUCA2_","EMPLTYP1","EMPL_YP1","EMPLTYP2","EMPL_YP2","FAM_SIZE","FAM__IZE","FAM_TYPE","FAM__YPE","FBSNSX","FBSNSX_","FD_STMPS","FD_S_MPS","FEDREFX","FEDREFX_","FFARMX","FFARMX_","FFEDTXX","FFEDTXX_","FGVX","FGVX_","FINCAFTX","FINC_FTX","FINCBEFX","FINC_EFX","FINLWT21","FIRAX","FIRAX_","FJSSDEDX","FJSS_EDX","FPVTX","FPVTX_","FREEMLX","FREEMLX_","FRRX","FRRX_","FS_AMT1","FS_AMT1_","FS_AMT2","FS_AMT2_","FS_AMT3","FS_AMT3_","FS_AMT4","FS_AMT4_","FS_AMT5","FS_AMT5_","FS_AMT6","FS_AMT6_","FS_AMT7","FS_AMT7_","FS_DATE1","FS_D_TE1","FS_DATE2","FS_D_TE2","FS_DATE3","FS_D_TE3","FS_DATE4","FS_D_TE4","FS_DATE5","FS_D_TE5","FS_DATE6","FS_D_TE6","FS_DATE7","FS_D_TE7","FS_MTHI","FS_MTHI_","FSS_RRX","FSS_RRX_","FSTATXX","FSTATXX_","FSUPPX","FSUPPX_","FWAGEX","FWAGEX_","HRSPRWK1","HRSP_WK1","HRSPRWK2","HRSP_WK2","INC_RNKU","INC__NKU","INSREFX","INSREFX_","INTX","INTX_","JFS_AMT","JFS_AMT_","JGRCFDMV","JGRC_DMV","JGRCFDWK","JGRC_DWK","JGROCYMV","JGRO_YMV","JGROCYWK","JGRO_YWK","LUMPX","LUMPX_","MARITAL1","MARI_AL1","NO_EARNR","NO_E_RNR","NONERNX","NONERNX_","OCCEXPNX","OCCE_PNX","OCCULIS2","OCCU_IS2","ORIGIN1","ORIGIN1_","ORIGIN2","ORIGIN2_","OTHINX","OTHINX_","OTHRECX","OTHRECX_","OTHREFX","OTHREFX_","OTHRNTX","OTHRNTX_","PENSIONX","PENS_ONX","PERSLT18","PERS_T18","PERSOT64","PERS_T64","PERSTAX","PERSTAX_","PICK_UP","OCCULIS1","OCCU_IS1","POPSIZE","PTAXREFX","PTAX_EFX","RACE2","RACE2_","REC_FS","REC_FS_","REF_RACE","REF__ACE","REGION","REGION_","RESPSTAT","RESP_TAT","ROOMX","ROOMX_","SALEX","SALEX_","SEX_REF","SEX_REF_","SEX2","SEX2_","SMSASTAT","SSREFX","SSREFX_","STATREFX","STAT_EFX","STRTDAY","STRTMNTH","STRTYEAR","TAXPROPX","TAXP_OPX","TYPOWND","TYPOWND_","UNEMPX","UNEMPX_","VEHQ","VEHQ_","WEEKI","WEEKI_","WEEKN","WELFRX","WELFRX_","WHYNWRK1","WHYN_RK1","WHYNWRK2","WHYN_RK2","WK_WRKD1","WK_W_KD1","WK_WRKD2","WK_W_KD2","WRKRSX","WRKRSX_","WTREP01","WTREP02","WTREP03","WTREP04","WTREP05","WTREP06","WTREP07","WTREP08","WTREP09","WTREP10","WTREP11","WTREP12","WTREP13","WTREP14","WTREP15","WTREP16","WTREP17","WTREP18","WTREP19","WTREP20","WTREP21","WTREP22","WTREP23","WTREP24","WTREP25","WTREP26","WTREP27","WTREP28","WTREP29","WTREP30","WTREP31","WTREP32","WTREP33","WTREP34","WTREP35","WTREP36","WTREP37","WTREP38","WTREP39","WTREP40","WTREP41","WTREP42","WTREP43","WTREP44","FOODTOT","FOODHOME","CEREAL","BAKEPROD","BEEF","PORK","OTHMEAT","POULTRY","SEAFOOD","EGGS","MILKPROD","OTHDAIRY","FRSHFRUT","FRSHVEG","PROCFRUT","PROCVEG","SWEETS","NONALBEV","OILS","MISCFOOD","FOODAWAY","ALCBEV","SMOKSUPP","PET_FOOD","PERSPROD","PERSSERV","DRUGSUPP","HOUSKEEP","HH_CU_Q","HH_CU_Q_","HHID","HHID_","CHILDAGE","CHIL_AGE","INCLASS","STATE","STATE_","CHDOTHX","CHDOTHX_","ALIOTHX","ALIOTHX_","CHDLMPX","CHDLMPX_","POVERTY","POVERTY_"
133511,.,"A",.,"A",.,"A",72,"D",78,"D","1","3","D","01","D",.,"A","8","D",0,"D","13","D","14","D",,"A",,"A",2,"D","1","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",0,"D",33261.805,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D",0,"D",0,"D",.,"A","1","D",0,"D",0,"D",.,"A",,"A","4","D","4","D",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",2,"D",0,"D","03",,"A","2",.,"A","1","D","2","D","1","D","4","D","2","D",.,"A",.,"A","1","D","2","D","1",.,"A",.,"A","16","05","1998",.,"A",,"A",.,"A",.,"A","1","D",2,.,"A","2","D","1","D",0,"D",0,"D",.,"A",.,.,64294.383,.,.,63219.927,72540.674,65237.323,.,62318.416,72516.885,67083.442,63508.179,69539.419,.,.,.,72712.712,.,71155.768,62382.556,78180.129,.,.,.,.,.,67421.516,.,.,.,74258.037,69314.744,.,76673.361,.,53217.92,72192.523,.,60346.984,69818.843,.,.,57839.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"D",.,"A","0","D","10","53","D",.,"A",.,"A",.,"A",,"A"
133512,.,"A",.,"A",.,"A",72,"D",78,"D","1","3","D","01","D",.,"A","8","D",0,"D","13","D","14","D",,"A",,"A",2,"D","1","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",0,"D",33261.805,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D",0,"D",0,"D",.,"A","1","D",0,"D",0,"D",.,"A",,"A","4","D","4","D",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",2,"D",0,"D","03",,"A","2",.,"A","1","D","2","D","1","D","4","D","2","D",.,"A",.,"A","1","D","2","D","1",.,"A",.,"A","23","05","1998",.,"A",,"A",.,"A",.,"A","2","D",2,.,"A","2","D","1","D",0,"D",0,"D",.,"A",.,.,64294.383,.,.,63219.927,72540.674,65237.323,.,62318.416,72516.885,67083.442,63508.179,69539.419,.,.,.,72712.712,.,71155.768,62382.556,78180.129,.,.,.,.,.,67421.516,.,.,.,74258.037,69314.744,.,76673.361,.,53217.92,72192.523,.,60346.984,69818.843,.,.,57839.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"D",.,"A","0","D","10","53","D",.,"A",.,"A",.,"A",,"A"
133521,.,"A",.,"A",.,"A",50,"D",50,"D","1","2","D","01","D",.,"A","8","D",0,"D","17","D","17","D",,"A",,"A",2,"D","1","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",19524,"D",19524,"D",22845.073,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",19524,"D",0,"D",0,"D",0,"D",.,"A",.,"A",0.3386122,"D",.,"A",.,"A",0,"D",413,"D",95,"D",609,"D",140,"D",.,"A","1","D",0,"D",19524,"D",.,"A",,"A","4","D","4","D",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D","01",,"A","2",.,"A","1","D","2","D","1","D","3","D","1","D",.,"A",.,"A","1","D","2","D","1",.,"A",.,"A","21","05","1998",.,"A","1","D",.,"A",2,"D","1","D",2,.,"A","4","D","4","D",0,"D",0,"D",.,"A",53757.933,35140.606,.,.,.,47436.184,43078.672,56117.871,52231.637,37106.522,.,45356.754,48821.462,55766.445,.,.,43541.012,.,36964.661,.,.,36811.454,.,.,41428.548,50401.08,.,50225.692,.,42435.866,49321.29,.,.,.,48005.729,.,.,.,.,.,33857.763,47796.109,52829.059,.,73.89999,67.4,0,0.75,0,0,2.79,25.8,0,0,2.92,9.54,0,0,0,5.23,2.29,9.21,0,8.87,6.49999,0,0,7.19,0,0,6.19,1.00999,1,"D",.,"A","0","D","04","24","D",.,"A",.,"A",.,"A","2","D"
133522,.,"A",.,"A",.,"A",50,"D",50,"D","1","2","D","01","D",.,"A","8","D",0,"D","17","D","17","D",,"A",,"A",2,"D","1","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",19524,"D",19524,"D",22845.073,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",19524,"D",0,"D",0,"D",0,"D",.,"A",.,"A",0.3389005,"D",.,"A",.,"A",0,"D",413,"D",95,"D",609,"D",140,"D",.,"A","1","D",0,"D",19524,"D",.,"A",,"A","4","D","4","D",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D","01",,"A","2",.,"A","1","D","2","D","1","D","3","D","1","D",.,"A",.,"A","1","D","2","D","1",.,"A",.,"A","28","05","1998",.,"A","1","D",.,"A",2,"D","2","D",2,.,"A","4","D","4","D",0,"D",0,"D",.,"A",53757.933,35140.606,.,.,.,47436.184,43078.672,56117.871,52231.637,37106.522,.,45356.754,48821.462,55766.445,.,.,43541.012,.,36964.661,.,.,36811.454,.,.,41428.548,50401.08,.,50225.692,.,42435.866,49321.29,.,.,.,48005.729,.,.,.,.,.,33857.763,47796.109,52829.059,.,76.71999,65.08,0,2.93,0,0,2.39,20,15.97,0,1.92,7.16,0,0,3.19,6.76,0,2.67,0,2.09,11.63999,0,41.35,6.35,0,0,15.27,2.35,1,"D",.,"A","0","D","04","24","D",.,"A",.,"A",.,"A","2","D"
133531,1780,"D",.,"A",25,"D",46,"D",48,"D","1","1","D","01","D",.,"A","2","D",82000,"D","17","D","13","D","3","D","3","D",4,"D","3","D",0,"D",,"A",.,"A",0,"D",2450,"D",140,"D",80620,"D",85482,"D",44732.331,2000,"D",5864,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",607,"D",2482,"D",82000,"D",60,"D",25,"D",0.9096672,"D",.,"A",.,"C",0,"D",435,"D",100,"D",522,"D",120,"D",.,"A","1","D",2,"D",3482,"D",400,"D","04","D","4","D","1","D",1000,"D",0,"D",.,"A",.,"A",.,"A",2,"D",0,"D",4862,"D","01","02","D","5",.,"A","1","D","2","D","1","D","4","D","1","D",.,"A",.,"A","1","D","2","D","2",.,"A",.,"A","22","06","1998",.,"A","1","D",.,"A",2,"D","1","D",2,.,"A",,"A",,"A",52,"D",42,"D",.,"A",.,77334.435,.,.,84002.506,.,95272.524,.,.,70400.037,88781.942,95119.126,.,90817.606,106879.562,88894.279,85909.233,72587.52,.,.,.,73391.88,.,89976.306,92703.86,106535.623,.,.,.,.,.,76573.859,.,.,.,118330.764,86984.934,.,95587.391,.,86491.226,93436.204,.,96265.881,178.53999,117.03,10.82,1.18,2.93,0,0,2.3,0,0.75,0,0,22.61,5.16,5.65,2.63,21.37,13.85,3.06,24.72,61.50999,4.25,0,0,6.91999,0,0,5.56999,1,"D",.,"A","4","D","09",,"T",.,"A",.,"A",.,"A","2","D"
133532,1780,"D",.,"A",25,"D",46,"D",48,"D","1","1","D","01","D",.,"A","2","D",82000,"D","17","D","13","D","3","D","3","D",4,"D","3","D",0,"D",,"A",.,"A",0,"D",2450,"D",140,"D",80620,"D",85482,"D",44732.331,2000,"D",5864,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",607,"D",2482,"D",82000,"D",60,"D",25,"D",0.9102318,"D",.,"A",.,"C",0,"D",435,"D",100,"D",522,"D",120,"D",.,"A","1","D",2,"D",3482,"D",400,"D","04","D","4","D","1","D",1000,"D",0,"D",.,"A",.,"A",.,"A",2,"D",0,"D",4862,"D","01","02","D","5",.,"A","1","D","2","D","1","D","4","D","1","D",.,"A",.,"A","1","D","2","D","2",.,"A",.,"A","29","06","1998",.,"A","1","D",.,"A",2,"D","2","D",2,.,"A",,"A",,"A",52,"D",42,"D",.,"A",.,77334.435,.,.,84002.506,.,95272.524,.,.,70400.037,88781.942,95119.126,.,90817.606,106879.562,88894.279,85909.233,72587.52,.,.,.,73391.88,.,89976.306,92703.86,106535.623,.,.,.,.,.,76573.859,.,.,.,118330.764,86984.934,.,95587.391,.,86491.226,93436.204,.,96265.881,156.27997,138.02997,6.89,5.18,0,0,2.59,3.87,9.53,0,1.78,0,9.74,4.4,3.19,3.39,4.22,54.87997,0,28.37,18.25,0,0,0,2.31,0,11.86,2.78,1,"D",.,"A","4","D","09",,"T",.,"A",.,"A",.,"A","2","D"
133541,.,"A",.,"A",.,"A",63,"D",.,"D","1","2","D","01","D",.,"A","8","D",0,"D","11","D",,"A",,"A",,"A",1,"D","8","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",0,"D",16032.783,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",130,"D",30,"D",130,"D",30,"D",.,"A","2","D",0,"D",0,"D",.,"A",,"A","1","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D","01",,"A","2",.,"A",,"A","2","D","1","D","3","D","2","D",.,"A",.,"A","2","D",,"A","1",.,"A",.,"A","11","06","1998",.,"A","1","D",.,"A",1,"D","1","D",2,.,"A","1","D",,"A",0,"D",.,"A",.,"A",.,.,.,.,31936.153,.,.,.,32125.199,27274.186,.,34335.232,.,30746.225,30603.498,.,29682.791,32420.229,.,.,34323.413,.,30349.212,.,.,34011.73,30065.976,31309.907,.,35855.464,31246.305,33801.002,29753.684,32735.625,.,.,.,29749.217,.,28513.342,30369.35,36322.305,.,.,54.99999,25,0,4.40499,5.82042,0,0,0,0,0,0,1.74748,0.98816,2.57804,0,0,0,2.30967,0,7.15124,29.99999,0,0,0,0,0,0,0,1,"D",.,"A","0","D","10","21","D",.,"A",.,"A",.,"A",,"A"
133542,.,"A",.,"A",.,"A",63,"D",.,"D","1","2","D","01","D",.,"A","8","D",0,"D","11","D",,"A",,"A",,"A",1,"D","8","D",0,"D",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",0,"D",16032.783,0,"D",0,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",0,"D",0,"D",0,"D",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",130,"D",30,"D",130,"D",30,"D",.,"A","2","D",0,"D",0,"D",.,"A",,"A","1","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D","01",,"A","2",.,"A",,"A","2","D","1","D","3","D","2","D",.,"A",.,"A","2","D",,"A","1",.,"A",.,"A","18","06","1998",.,"A","1","D",.,"A",1,"D","2","D",2,.,"A","1","D",,"A",0,"D",.,"A",.,"A",.,.,.,.,31936.153,.,.,.,32125.199,27274.186,.,34335.232,.,30746.225,30603.498,.,29682.791,32420.229,.,.,34323.413,.,30349.212,.,.,34011.73,30065.976,31309.907,.,35855.464,31246.305,33801.002,29753.684,32735.625,.,.,.,29749.217,.,28513.342,30369.35,36322.305,.,.,74.27997,30.00001,1.34317,1.25463,0,0,0,0,6.85085,0,1.94007,0,2.75891,1.53072,0,3.26669,2.02545,2.27853,1.90406,4.84693,44.27996,0,0,0,0,0,0,0,1,"D",.,"A","0","D","10","21","D",.,"A",.,"A",.,"A",,"A"
133552,.,"A",.,"A",.,"A",31,"D",.,"D","1","4","D","01","D",.,"A","1","D",0,"D","11","D",,"A","1","D",,"A",4,"D","9","D",0,"D","1","D",.,"A",0,"D",0,"D",0,"D",3852,"D",3852,"D",52841.676,0,"D",0,"D",0,"D",.,"A",0,"D",321,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","06111998","D",,"A",,"A",,"A",,"A",,"A",,"A",12,"D",0,"D",0,"D",0,"D",0,"D",52,"D",.,"A",.,"A",.,"A",.,"A",3852,"D",565,"D",130,"D",652,"D",150,"D",.,"A","5","D",1,"D",3852,"D",.,"A",,"A","4","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",2,"D",0,"D",0,"D","01","15","D","3",.,"A",,"A","1","D","1","D","1","D","2","D",.,"A",.,"A","1","D",,"A","1",.,"A",.,"A","09","06","1998",.,"A",,"A",.,"A",.,"A","2","D",1,.,"A",,"A",,"A",8,"D",.,"A",.,"A",81540.198,.,.,159973.806,.,112548.614,.,.,115038.745,.,.,111679.505,111131.576,.,138824.073,.,117896.308,109511.236,.,.,.,117221.096,.,.,.,.,.,89106.26,111839.347,132308.688,.,141672.866,.,.,.,91979.03,99000.614,97299.737,90900.488,117343.185,.,116067.455,110697.447,139499.722,293.38,293.38,5.4,45.97,23.85,9.15,5.85,44.83,0,0,2,19.81,6.6,24.17,0.78209,14.42791,12.05,10.28,12.29,55.92,0,0,0,0,0,0,0,0,1,"D",.,"A","1","D","10","42","D",.,"A",.,"A",.,"A",,"A"
133561,.,"A",.,"A",.,"A",23,"D",.,"D","1","2","D","01","D",.,"A","4","D",46064,"D","12","D",,"A","1","D",,"A",4,"D","9","D",0,"D",,"A",1500,"D",0,"D",5185,"D",0,"D",53443,"D",57128,"D",38481.073,0,"D",3524,"D",3889,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",11064,"D",0,"D",0,"D",46064,"D",60,"D",.,"A",0.7628782,"D",.,"A",.,"A",0,"D",361,"D",83,"D",361,"D",83,"D",.,"A","5","D",4,"D",11064,"D",.,"A",,"A","2","D",,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",1,"D",3685,"D","01","04","D","2",.,"A",,"A","2","D","1","D","3","D","1","D",.,"A",.,"A","1","D",,"A","1",.,"A",.,"A","07","06","1998",.,"A","1","D",.,"A",2,"D","1","D",1,.,"A",,"A",,"A",52,"D",.,"A",.,"A",70536.928,.,73319.375,.,.,.,92728.791,84358.093,79325.382,77628.626,71819.865,.,69812.834,94619.764,81073.306,.,.,64535.577,.,83083.23,.,.,68711.891,.,.,81663.854,81547.172,.,85929.814,.,72499.917,89667.5,.,.,.,70125.761,.,.,.,.,.,85804.836,82688.869,73863.988,80.12999,80.12999,0,0,2.94,7.86118,4.57882,15.12,0,4.97,0,6.83,6.6,3.9,2.42,0,0,7.96,0,16.94999,0,0,0,0,0,0,53.13,5.18999,1,"D",.,"A","0","D","08","48","D",.,"A",.,"A",.,"A","2","D"
